"source","target","id","developer_comments"
"Y_FCLSHOP_YESNO_0","通常　はい","Y_FCLSHOP_YESNO_0",""
"Y_FCLSHOP_YESNO_1","通常　いいえ","Y_FCLSHOP_YESNO_1",""
"Y_FCLSHOP_YESNO_BUY_NUM_0","購入する","Y_FCLSHOP_YESNO_BUY_NUM_0",""
"Y_FCLSHOP_YESNO_BUY_NUM_1","やめておく","Y_FCLSHOP_YESNO_BUY_NUM_1",""
"Y_FCLSHOP_YESNO_BUY_0","購入する","Y_FCLSHOP_YESNO_BUY_0",""
"Y_FCLSHOP_YESNO_BUY_1","やめておく","Y_FCLSHOP_YESNO_BUY_1",""
"Y_FCLSHOP_YESNO_BUY_EQUI_0","装備していく","Y_FCLSHOP_YESNO_BUY_EQUI_0",""
"Y_FCLSHOP_YESNO_BUY_EQUI_1","まだいい","Y_FCLSHOP_YESNO_BUY_EQUI_1",""
"Y_FCLSHOP_YESNO_BUY_TRAD_0","買い取って","Y_FCLSHOP_YESNO_BUY_TRAD_0",""
"Y_FCLSHOP_YESNO_BUY_TRAD_1","やめておく","Y_FCLSHOP_YESNO_BUY_TRAD_1",""
"Y_FCLSHOP_YESNO_SELL_ALL_0","売却する","Y_FCLSHOP_YESNO_SELL_ALL_0",""
"Y_FCLSHOP_YESNO_SELL_ALL_1","やめておく","Y_FCLSHOP_YESNO_SELL_ALL_1",""
"Y_FCLSHOP_YESNO_SELL_0","売却する","Y_FCLSHOP_YESNO_SELL_0",""
"Y_FCLSHOP_YESNO_SELL_1","やめておく","Y_FCLSHOP_YESNO_SELL_1",""
"Y_FCLSHOP_YESNO_COSTODY__0","預ける","Y_FCLSHOP_YESNO_COSTODY__0",""
"Y_FCLSHOP_YESNO_COSTODY__1","やめておく","Y_FCLSHOP_YESNO_COSTODY__1",""
"Y_FCLSHOP_YESNO_COSTODY__2_0","預ける","Y_FCLSHOP_YESNO_COSTODY__2_0",""
"Y_FCLSHOP_YESNO_COSTODY__2_1","やめておく","Y_FCLSHOP_YESNO_COSTODY__2_1",""
"Y_FCLSHOP_YESNO_COSTODY__3_0","引き出す","Y_FCLSHOP_YESNO_COSTODY__3_0",""
"Y_FCLSHOP_YESNO_COSTODY__3_1","やめておく","Y_FCLSHOP_YESNO_COSTODY__3_1",""
"Y_FCLSHOP_YESNO_COSTODY__4_0","引き出す","Y_FCLSHOP_YESNO_COSTODY__4_0",""
"Y_FCLSHOP_YESNO_COSTODY__4_1","やめておく","Y_FCLSHOP_YESNO_COSTODY__4_1",""
"Y_FCLSHOP_YESNO_COSTODY__5_0","引き出す","Y_FCLSHOP_YESNO_COSTODY__5_0",""
"Y_FCLSHOP_YESNO_COSTODY__5_1","やめておく","Y_FCLSHOP_YESNO_COSTODY__5_1",""
"Y_FCLSHOP_BUY_MSG_0","は[F2 01 03 01][F2 44 02 01]円[F2 01 01 01]です。
宜しいですか？","Y_FCLSHOP_BUY_MSG_0","テオドア"
"Y_FCLSHOP_USE_BUY_MSG_0","[F2 44 01 01]個で[F2 01 03 01][F2 44 02 01]円[F2 01 01 01]になります。
宜しいですか？","Y_FCLSHOP_USE_BUY_MSG_0","テオドア"
"Y_FCLSHOP_SELL_MSG_0","を[F2 44 02 01]個
お売り頂けるのですか？","Y_FCLSHOP_SELL_MSG_0","テオドア"
"Y_FCLSHOP_SELL_MULUTI_MS_0","これら[F2 44 01 01]個をお売りになると
[F2 01 03 01][F2 44 02 01]円[F2 01 01 01]です。宜しいですか？","Y_FCLSHOP_SELL_MULUTI_MS_0","テオドア"
"Y_FCLSHOP_FAV_NG_0","お気に入り登録されているため売却できません。","Y_FCLSHOP_FAV_NG_0",""
"Y_FCLSHOP_DLC_NG_0","ＤＬＣアイテムは売却できません。","Y_FCLSHOP_DLC_NG_0",""
"Y_FCLSHOP_ADD_LIST_0","＞[F4 45 04 01 00 00 01 01]が商品に追加された！","Y_FCLSHOP_ADD_LIST_0","テオドア"
"Y_FCLSHOP_EQUIP_0","を
すぐに装備なさいますか？","Y_FCLSHOP_EQUIP_0","テオドア"
"Y_FCLSHOP_TRADE_0","今まで装備されていた[F4 45 04 01 00 00 01 01]を
[F2 01 03 01][F2 44 02 01]円[F2 01 01 01]でお売りになりますか？","Y_FCLSHOP_TRADE_0","テオドア"
"Y_FCLSHOP_ALLSELL_0","お持ちの素材を全てお売りになると
[F2 01 03 01][F2 44 01 01]円[F2 01 01 01]です。宜しいですか?","Y_FCLSHOP_ALLSELL_0","テオドア"
"Y_FCLSHOP_SELL_MES_NORMA_0","これはまた面白い素材ですね！
何ができるか今から楽しみです。","Y_FCLSHOP_SELL_MES_NORMA_0","テオドア"
"Y_FCLSHOP_SELL_MES_NORMA_1","それでは、少々お待ちを。","Y_FCLSHOP_SELL_MES_NORMA_1","テオドア"
"Y_FCLSHOP_SELL_MES_NORMA_2_0","これはこれは…
何ができるか楽しみな素材。","Y_FCLSHOP_SELL_MES_NORMA_2_0","テオドア"
"Y_FCLSHOP_SELL_MES_NORMA_2_1","心なしかポップコーンメーカーも
喜んでいるように見えます…！","Y_FCLSHOP_SELL_MES_NORMA_2_1","テオドア"
"Y_FCLSHOP_SELL_MES_RARE1_0","大変面白い素材ですね。
さて、どうなるか…","Y_FCLSHOP_SELL_MES_RARE1_0","テオドア"
"Y_FCLSHOP_SELL_MES_RARE1_1","ともあれ加工してみます。
お待ち下さいませ。","Y_FCLSHOP_SELL_MES_RARE1_1","テオドア"
"Y_FCLSHOP_SELL_MES_RARE2_0","おや…この輝きは…","Y_FCLSHOP_SELL_MES_RARE2_0","テオドア"
"Y_FCLSHOP_SELL_MES_RARE2_1","稀に見る上質な素材のようです！
結果が楽しみですね！","Y_FCLSHOP_SELL_MES_RARE2_1","テオドア"
"Y_FCLSHOP_SELL_MES_HIGH__0","おお！これは素晴らしい！！","Y_FCLSHOP_SELL_MES_HIGH__0","テオドア"
"Y_FCLSHOP_SELL_MES_HIGH__1","この不肖テオドア、
丹精込めて開発いたします！","Y_FCLSHOP_SELL_MES_HIGH__1","テオドア"
"Y_FCLSHOP_ADD_MES_NORMAL_0","お待たせいたしました。
どうぞ、ご利用ください。","Y_FCLSHOP_ADD_MES_NORMAL_0","テオドア"
"Y_FCLSHOP_ADD_MES_NORMAL_2_0","どうです？
立派に生まれ変わりましたよ。","Y_FCLSHOP_ADD_MES_NORMAL_2_0","テオドア"
"Y_FCLSHOP_ADD_MES_RARE1_0","ふう…いかがでしょうか？","Y_FCLSHOP_ADD_MES_RARE1_0","テオドア"
"Y_FCLSHOP_ADD_MES_RARE2_0","ふぅ…お待たせいたしました。","Y_FCLSHOP_ADD_MES_RARE2_0","テオドア"
"Y_FCLSHOP_ADD_MES_RARE2_1","素材に見合う逸品が
完成してしまいました…！","Y_FCLSHOP_ADD_MES_RARE2_1","テオドア"
"Y_FCLSHOP_ADD_MES_HIGH_R_0","どうです？
立派に生まれ変わりましたよ。","Y_FCLSHOP_ADD_MES_HIGH_R_0","テオドア"
"Y_FCLSHOP_ADD_MES_HIGH_R_1","あらゆる物は、まだまだ眠れる原石…
秘めた輝きを見出すことで…","Y_FCLSHOP_ADD_MES_HIGH_R_1","テオドア"
"Y_FCLSHOP_ADD_MES_HIGH_R_2","あっ、まだ話は終わっていません！","Y_FCLSHOP_ADD_MES_HIGH_R_2","テオドア"
"WSHOP_KEEP_MATERIAL_0","あと少し素材が集まれば、
このようなモノもお作りできそうです。","WSHOP_KEEP_MATERIAL_0","テオドア"
"CSHOP_DEP_CONF_0","[F2 44 01 01]個の荷物を
お預かりいたしますか？","CSHOP_DEP_CONF_0","テオドア"
"CSHOP_DEP_CONF_OK_0","[F2 44 01 01]個の荷物を
お預かりいたしました。","CSHOP_DEP_CONF_OK_0","テオドア"
"CSHOP_PUL_CONF_0","[F2 44 01 01]個の荷物を
お引き出しされますか？","CSHOP_PUL_CONF_0","テオドア"
"CSHOP_PUL_CONF_OK_0","[F2 44 01 01]個の荷物を
お返しいたしました。","CSHOP_PUL_CONF_OK_0","テオドア"
"CSHOP_COMMON_NG_1_0","…おや、荷物がいっぱいですね。
申し訳ないのですが、これ以上は
お預かりすることができません。","CSHOP_COMMON_NG_1_0","テオドア"
"CSHOP_COMMON_NG_2_0","スペースに空きがありませんね。
申し訳ないのですが、新たなお荷物を
預かる事ができません。","CSHOP_COMMON_NG_2_0","テオドア"
"CSHOP_COMMON_NG_3_0","お手持ちの荷物がいっぱいのようです。
申し訳ありませんが、
一部の荷物をお返しできません。","CSHOP_COMMON_NG_3_0","テオドア"
"WSHOP_MULUTI_ADD_ITEM_LA_0","が購入可能になった。","WSHOP_MULUTI_ADD_ITEM_LA_0",""
