"source","target","id","developer_comments"
"PARTY_EDIT_YESNO_0","是","PARTY_EDIT_YESNO_0",""
"PARTY_EDIT_YESNO_1","否","PARTY_EDIT_YESNO_1",""
"PARTY_EDIT_YESNO_CALL_0","是","PARTY_EDIT_YESNO_CALL_0",""
"PARTY_EDIT_YESNO_CALL_1","否","PARTY_EDIT_YESNO_CALL_1",""
"PARTY_EDIT_YESNO_CALL_DE_0","是","PARTY_EDIT_YESNO_CALL_DE_0",""
"PARTY_EDIT_YESNO_CALL_DE_1","否","PARTY_EDIT_YESNO_CALL_DE_1",""
"PARTY_EDIT_YESNO_REGIST__0","是","PARTY_EDIT_YESNO_REGIST__0",""
"PARTY_EDIT_YESNO_REGIST__1","否","PARTY_EDIT_YESNO_REGIST__1",""
"MSG_ORGIA000_0","欧尔吉亚模式解说
毕竟，这是艺术嘛。","MSG_ORGIA000_0","机翻辅助：

欧尔吉亚模式解说
毕竟，这是艺术嘛。

正齿轮模式的解说。
毕竟是艺术啊。

齿轮模式的解说。
因为是艺术嘛。"
"MSG_ORGIA000_1","我可是超期待的哦！","MSG_ORGIA000_1","机翻辅助：

我可是超期待的哦！

赞不绝口，期待着呢！

我很期待你的好评！"
"PARTY_EDIT_MSG_CALL_COMF_0","＞要呼叫这支队伍吗？","PARTY_EDIT_MSG_CALL_COMF_0","机翻辅助：

＞要呼叫这支队伍吗？

＞是否调用此注册交易方？

＞调用这个注册派对吗？"
"PARTY_EDIT_MSG_SET_COMFI_0","＞队伍“[占位A 01]”要
　登录吗？","PARTY_EDIT_MSG_SET_COMFI_0","机翻辅助：

＞队伍“[占位A 01]”要
　登录吗？

＞可以注册派对“[占位A 01]”吗？
　

＞可以登记派对“[占位A 01]”吗？"
"PARTY_EDIT_MSG_DEL_COMFI_0","＞队伍“[占位A 01]”要
　删除吗？","PARTY_EDIT_MSG_DEL_COMFI_0","机翻辅助：

＞队伍“[占位A 01]”要
　删除吗？

＞是否确实要删除派对“[占位A 01]”？
　

＞可以把派对“[占位A 01]”删除吗？"
"PARTY_EDIT_MSG_CANCEL_CR_0","＞不登录这支队伍
　结束吗？","PARTY_EDIT_MSG_CANCEL_CR_0","机翻辅助：

＞不登录这支队伍
　结束吗？

＞不注册此派对
　是否确实要退出？

＞不登记这个派对
　可以结束吗？"
"PARTY_EDIT_MSG_NAME_ENTR_0","请输入这支队伍的名称。
轻触文字即可选择。","PARTY_EDIT_MSG_NAME_ENTR_0","机翻辅助：

请输入这支队伍的名称。
轻触文字即可选择。

请输入此交易方的名称。
可以通过触摸选择文字。

请输入这个派对的名字。
可以用触摸选择文字。"
"PARTY_EDIT_MSG_CANCEL_ED_0","＞不变更队伍编组直接返回。
　可以吗？","PARTY_EDIT_MSG_CANCEL_ED_0","机翻辅助：

＞不变更队伍编组直接返回。
　可以吗？

＞不变更派对的编制返回。
　可以吗？

＞在不更改交易方组织的情况下返回。
　可以吗？"
"PARTY_EDIT_MSG_PARTY_ALL_0","＞队伍没有能战斗的伙伴。","PARTY_EDIT_MSG_PARTY_ALL_0","机翻辅助：

＞队伍没有能战斗的伙伴。

＞没有可以参加派对的伙伴。

＞没有能在派对上战斗的伙伴。"
"PARTY_EDIT_MSG_LEADER_NO_0","＞队伍没有设定队长
　请务必设定队伍队长。","PARTY_EDIT_MSG_LEADER_NO_0","机翻辅助：

＞队伍没有设定队长
　请务必设定队伍队长。

＞没有设定团队领导
　请一定要设定团队领导。

＞未为团队设置领导
　必须为团队设置领导"
"PARTY_EDIT_MSG_NO_MEMBER_0","＞请指定队伍伙伴。","PARTY_EDIT_MSG_NO_MEMBER_0","机翻辅助：

＞请指定队伍伙伴。

＞请在派对上指定伙伴。

＞请指定参加聚会的伙伴。"
"PARTY_EDIT_MSG_LEADER_NO_2_0","＞队伍队长请
　选择拥有野性能力的角色
　。","PARTY_EDIT_MSG_LEADER_NO_2_0","机翻辅助：

＞队伍队长请
　选择拥有野性能力的角色
　。

＞派对的队长
　请选择有狂野能力的角色。
　

＞派对的领导
　请选择拥有野性能力的角色。"
"PARTY_EDIT_MSG_FIRST_NAV_0","＞没有设定导航员
　请务必设定导航员。","PARTY_EDIT_MSG_FIRST_NAV_0","机翻辅助：

＞没有设定导航员
　请务必设定导航员。

＞未设置导航
　请务必设置导航。

＞没有设定导航系统
　导航系统一定要设定。"
"PARTY_EDIT_MSG_DUNGEON_N_0","＞没有设定区域导航员
　请务必设定区域导航员。","PARTY_EDIT_MSG_DUNGEON_N_0","机翻辅助：

＞没有设定区域导航员
　请务必设定区域导航员。

＞未设置现场导航
　请务必设置现场导航。

＞没有被设定现场导航
　请一定要设定现场导航。"
"PARTY_EDIT_RISKY_INVALID_0","＞难度RISKY
　没有P5主角的队伍
　无法编组。","PARTY_EDIT_RISKY_INVALID_0","机翻辅助：

＞难度RISKY
　没有P5主角的队伍
　无法编组。

＞难易度RISKY
　P5没有主人公的派对
　不能组织

＞难易度RISKY
　脱离P5主人公的派对
　无法编成"
