"source","target","id","developer_comments"
"cmp_performance_P4HERO_0","八十神高中二年级生。
沉默寡言且冷静，却也有充满男子气概的一面，
深受伙伴们信赖。
自称特别搜查队的队长。","cmp_performance_P4HERO_0","机翻辅助：

八十神高中二年级生。
沉默寡言且冷静，却也有充满男子气概的一面，
深受伙伴们信赖。
自称特别搜查队的队长。

八十神高中2年级学生。虽然沉默寡言很酷，但也有汉气洋溢的一面，被同伴们寄予着深厚的信赖。自称担任特别搜查队的队长。




八十神高中二年级学生。
虽然沉默寡言、冷酷，但也有充满汉气的一面。
自称是特别调查队的队长。"
"cmp_performance_P3HERO_0","月光馆学园高中部二年级生。
在特别课外活动部担任队长。
个性沉稳，散发出一股冷静的气质。
总是戴着耳机。","cmp_performance_P3HERO_0","机翻辅助：

月光馆学园高中部二年级生。
在特别课外活动部担任队长。
个性沉稳，散发出一股冷静的气质。
总是戴着耳机。

月光馆学园高等部2年级学生。
在特别课外活动部担任领导。
性格沉稳，给人一种冷酷的感觉。
经常戴着耳机。

月光馆学园高中部2年级学生。
在特别课外活动部担任队长。
性格沉稳，气质冷静。总是戴着耳机。"
"cmp_performance_YOSUKE_0","八十神高中二年级生。
大型超市“Junes”店长的儿子，该店位于稻羽市。
虽然容易得意忘形，却是自称特别搜查队
唯一称得上负责吐槽的人，因此总是劳心劳力。","cmp_performance_YOSUKE_0","机翻辅助：

八十神高中二年级生。
大型超市“Junes”店长的儿子，该店位于稻羽市。
虽然容易得意忘形，却是自称特别搜查队
唯一称得上负责吐槽的人，因此总是劳心劳力。

八十神高中二年级学生。位于稻羽市的大型超市
Junes
的店长的儿子。
虽然是个得意忘形的人，但自称是特别调查队中唯一的一个。

八十神高中2年级学生。稻羽市大型超市“junes”店长的儿子。
得意洋洋的，自称是特别搜查队唯一能说
的吐槽角色，操心不断。"
"cmp_performance_CHIE_0","八十神高中二年级生。
热爱功夫与肉的自称特别搜查队成员之一。
个性大胆，正义感强烈。
和雪子从小感情就很好，是挚友。","cmp_performance_CHIE_0","机翻辅助：

八十神高中二年级生。
热爱功夫与肉的自称特别搜查队成员之一。
个性大胆，正义感强烈。
和雪子从小感情就很好，是挚友。

八十神高中二年级学生。
自称热爱功夫和肉的特别调查队之一。
性格不胆怯，正义感很强。
和雪子从小关系就很好，是好朋友。

八十神高中2年级学生。
他是喜欢功夫和肉的特别调查队成员之一。
性格不胆怯，正义感强。我和雪子从小就关系很好，是好朋友。"
"cmp_performance_YUKIKO_0","八十神高中二年级生。
老字号旅馆·天城屋旅馆的继承人，每天勤奋地学习如何当旅馆老板娘。
虽然个性稳重，但其实很容易笑。
和千枝从小就是好朋友。","cmp_performance_YUKIKO_0","机翻辅助：

八十神高中二年级生。
老字号旅馆·天城屋旅馆的继承人，每天勤奋地学习如何当旅馆老板娘。
虽然个性稳重，但其实很容易笑。
和千枝从小就是好朋友。

八十神高中二年级学生。她是老字号天城屋旅馆的继承人，每天都在努力修行老板娘。
优雅的另一方面，实际上是相当搞笑的上户。
千枝从小就是好朋友。


八十神高中2年级学生。她是老字号天城屋旅馆的女继承人，每天努力修炼老板娘。文静的另一面，其实很爱笑。我和千枝从小就是好朋友。"
"cmp_performance_RISE_0","八十神高中一年级生。
以“理世儿”这个昵称广受喜爱的超人气偶像。
不过，目前暂停演艺活动，一边在稻羽市
帮忙祖母经营豆腐店。","cmp_performance_RISE_0","机翻辅助：

八十神高中一年级生。
以“理世儿”这个昵称广受喜爱的超人气偶像。
不过，目前暂停演艺活动，一边在稻羽市
帮忙祖母经营豆腐店。

八十神高中1年级学生。
被亲切地称为“理世”的超人气偶像。
但是，现在停止了演艺活动，在稻羽市奶奶的豆腐店帮忙。


八十神高中一年级学生。
以“理世ちー”之名为人熟知的超人气偶像。
但现在停止演艺活动，在稻羽市为奶奶开豆腐店。"
"cmp_performance_KANZI_0","八十神高中一年级生。外表难以亲近
被当成恶名昭彰的不良少年而受人畏惧，
但本性认真又重情义。其实手很巧
也有喜欢可爱事物的纤细一面。","cmp_performance_KANZI_0","机翻辅助：

八十神高中一年级生。外表难以亲近
被当成恶名昭彰的不良少年而受人畏惧，
但本性认真又重情义。其实手很巧
也有喜欢可爱事物的纤细一面。

八十神高中1年级学生。虽然有着难以接近的外表，被认为是不良少年而令人畏惧，但他的本性是诚实且讲义气的。其实手巧
也有喜欢可爱东西的纤细的一面。



八十神高中一年级学生。以难以接近的姿态被认为是带着牌子的不良少年，但根很认真，很有道理。其实手很灵巧
也有喜欢可爱的东西这样纤细的一面。"
"cmp_performance_NAOTO_0","八十神高中一年级生。代代相传的侦探家族第五代。
虽然还是高中生，却凭藉头脑
解决过许多棘手事件，拥有“侦探王子”的别名。
为了调查某起事件而来到稻羽市。","cmp_performance_NAOTO_0","机翻辅助：

八十神高中一年级生。代代相传的侦探家族第五代。
虽然还是高中生，却凭藉头脑
解决过许多棘手事件，拥有“侦探王子”的别名。
为了调查某起事件而来到稻羽市。

八十神高中一年级学生。世世代代侦探一族的第五代。
虽然是高中生，但他用自己的头脑解决了很多难题，因此被称为“侦探王子”。
为了调查某个事件，来到了稻羽市。


八十神高中1年级学生。是侦探家族代代相传的第5代。虽然是高中生，却凭借自己的头脑解决了许多棘手的案件，被称为“侦探王子”。为了调查某个事件，访问了稻羽市。"
"cmp_performance_KUMA_0","在电视上遇见的，开朗又
有点怕寂寞，像小熊的生物。
在“Junes”打工
寄宿在花村家。","cmp_performance_KUMA_0","机翻辅助：

在电视上遇见的，开朗又
有点怕寂寞，像小熊的生物。
在“Junes”打工
寄宿在花村家。

在电视中遇到的明亮的茶色眼睛
有点寂寞的小熊般的生物。
在“Junes”打工的同时，寄居在花村家。


在电视里遇到的，开朗的棕眼
有点怕寂寞的小熊一样的生物。
一边在“junes”打工，一边住在花村家。"
"cmp_performance_YUKARI_0","月光馆学园高中部二年级生。
个性开朗又直爽，在学校
也很受欢迎，但也有会让人觉得有点难以亲近的一面。
除了特别课外活动部以外，也参加弓道社。","cmp_performance_YUKARI_0","机翻辅助：

月光馆学园高中部二年级生。
个性开朗又直爽，在学校
也很受欢迎，但也有会让人觉得有点难以亲近的一面。
除了特别课外活动部以外，也参加弓道社。

月光馆学园高中部2年级学生。性格开朗爽朗，在学校的人气也很高，但也有退步一步的一面。
除了特别课外活动部以外，还加入了弓道部。



月光馆学园高等部2年级学生。
性格开朗、爽快，在学校也很受欢迎。
除了特别课外活动部以外，还属于弓道部。"
