"source","target","id","developer_comments"
"chara_001_0","适合前锋：专精于斩击攻击与电击魔法
面对强敌会燃烧起来的男子汉。","chara_001_0","机翻辅助：

适合前锋：专精于斩击攻击与电击魔法
面对强敌会燃烧起来的男子汉。

前排朝向：斩攻击和电击魔法特殊化
强敌对手燃烧的汉。

前排朝向：特殊化斩攻击和电击魔法
对强敌对手燃烧的汉。"
"chara_002_0","适合前排：任何属性都能运用自如的
万能型完美超人。","chara_002_0","机翻辅助：

适合前排：任何属性都能运用自如的
万能型完美超人。

前后列朝向：什么属性都能熟练使用
万能型的完美超人。

前后列朝向：任何属性都能使用的
万能型的完美超人。"
"chara_003_0","适合前排：专精于斩击和疾风魔法的
动作敏捷的突击队长。","chara_003_0","机翻辅助：

适合前排：专精于斩击和疾风魔法的
动作敏捷的突击队长。

前排朝向：斩攻击和疾风魔法特殊化了的
快速动作的切入队长。

前排朝向：斩攻击和疾风魔法特化
快速动作的切入队长。"
"chara_004_0","适合前排：回避力和爆击攻击都很优秀的
功夫少女。","chara_004_0","机翻辅助：

适合前排：回避力和爆击攻击都很优秀的
功夫少女。

前排朝向：回避力和关键攻击
优秀的功夫少女。

前排适合：回避力和关键攻击
优秀的功夫少女。"
"chara_005_0","适合后排：技能威力天下第一的
大和抚子。但要注意体力！","chara_005_0","机翻辅助：

适合后排：技能威力天下第一的
大和抚子。但要注意体力！

适合后排：技能威力天下第一的
大和抚子。但是要注意体力！

技能的威力天下第一
大和抚子。但是要注意体力！"
"chara_006_0","无","chara_006_0","机翻辅助：

无

没有"
"chara_007_0","适合前排：以高防御力和攻击力
在伙伴的盾牌上大显身手。","chara_007_0","机翻辅助：

适合前排：以高防御力和攻击力
在伙伴的盾牌上大显身手。

以高防御力和攻击力
作为同伴的盾大活跃。

前排适合：高防御力和攻击力
同伴的盾大活跃。"
"chara_008_0","适合后排：以特殊技能和伙伴
进行连结攻击的小小侦探。","chara_008_0","机翻辅助：

适合后排：以特殊技能和伙伴
进行连结攻击的小小侦探。

后排适合：用特殊技能和同伴
进行链接攻击的小侦探。

用特殊的技能和同伴进行链接攻击的奇比科侦探。"
"chara_009_0","适合前后排：能协助伙伴成长的
各种方便的自称可爱吉祥物。","chara_009_0","机翻辅助：

适合前后排：能协助伙伴成长的
各种方便的自称可爱吉祥物。

前后列适合：能帮助同伴的成长
各种方便的自称普利奇的吉祥物。

前后列朝向：能帮助朋友的成长
各种各样方便的自称purichi吉祥物。"
"chara_00A_0","适合后排：擅长疾风属性攻击
回复技能也很多的吐槽少女。","chara_00A_0","机翻辅助：

适合后排：擅长疾风属性攻击
回复技能也很多的吐槽少女。

后排朝向：擅长疾风属性攻击
恢复技能也多种多样的吐槽少女。

后排适合：疾风属性攻击出色
回复技能多样的吐槽少女。"
