"source","target","id","developer_comments"
"WSHOP_HELLO_NAGI_0_0","哎呀，你也在啊。","WSHOP_HELLO_NAGI_0_0","机翻辅助：

哎呀，你也在啊。

嘛，来了吧。

嗯，来了吧。"
"WSHOP_HELLO_NAGI_1_0","你来得好啊。","WSHOP_HELLO_NAGI_1_0","机翻辅助：

你来得好啊。

你来了。

你来得真好。"
"WSHOP_HELLO_THEODORE_0_0","欢迎光临。","WSHOP_HELLO_THEODORE_0_0","机翻辅助：

欢迎光临。"
"WSHOP_HELLO_THEODORE_1_0","欢迎光临。","WSHOP_HELLO_THEODORE_1_0","机翻辅助：

欢迎光临。"
"WSHOP_HELLO_THEODORE_2_0","我们恭候多时了。","WSHOP_HELLO_THEODORE_2_0","机翻辅助：

我们恭候多时了。

大家久等了。

大家等了很久。"
"WSHOP_DISCOUNT1_P1_0","欢迎光临。","WSHOP_DISCOUNT1_P1_0","机翻辅助：

欢迎光临。"
"WSHOP_DISCOUNT1_P1_1","哎呀……您好像有
[道具 0765]呢。","WSHOP_DISCOUNT1_P1_1","机翻辅助：

哎呀……您好像有
[道具 0765]呢。

哎……您好像有
[道具 0765]。

哎呀……您好像有
[道具 0765]。"
"WSHOP_DISCOUNT1_P1_2","恭喜您！
这是由我亲手制作的折价券！","WSHOP_DISCOUNT1_P1_2","机翻辅助：

恭喜您！
这是由我亲手制作的折价券！

恭喜！
那是我亲手制作的打折券！

恭喜恭喜！
那边是我自制的打折券！"
"WSHOP_DISCOUNT1_P1_3","今后您[颜色 03]可以以[颜色 01]
的折扣价格购买所有商品。","WSHOP_DISCOUNT1_P1_3","机翻辅助：

今后您[颜色 03]可以以[颜色 01]
的折扣价格购买所有商品。

今后[颜色 03]所有商品以10%的折扣价格[颜色 01]
可以购买。

今后[颜色 03]所有商品都可以打10%的折扣来购买。[颜色 01]"
"WSHOP_DISCOUNT1_P1_4","
希望您能享受购物的乐趣。谢谢。","WSHOP_DISCOUNT1_P1_4","机翻辅助：


希望您能享受购物的乐趣。谢谢。

如果能让大家享受购物的乐趣就太幸运了。


希望大家购物愉快。"
"WSHOP_DISCOUNT1_P2_0","欢迎光临。","WSHOP_DISCOUNT1_P2_0","机翻辅助：

欢迎光临。"
"WSHOP_DISCOUNT1_P2_1","哎呀……您好像有
[道具 0766]呢。","WSHOP_DISCOUNT1_P2_1","机翻辅助：

哎呀……您好像有
[道具 0766]呢。

哎……您好像有
[道具 0766]。

哎呀……您好像有
[道具 0766]。"
