"source","target","id","developer_comments"
"noffice_yesno_0","はい","noffice_yesno_0",""
"noffice_yesno_1","いいえ","noffice_yesno_1",""
"noffice_yesno_accept_che_0","発券する","noffice_yesno_accept_che_0",""
"noffice_yesno_accept_che_1","やめておく","noffice_yesno_accept_che_1",""
"noffice_yesno_accept_ove_0","発券する","noffice_yesno_accept_ove_0",""
"noffice_yesno_accept_ove_1","やめておく","noffice_yesno_accept_ove_1",""
"noffice_yesno_cancel_che_0","破棄する","noffice_yesno_cancel_che_0",""
"noffice_yesno_cancel_che_1","やめておく","noffice_yesno_cancel_che_1",""
"cure_ng_E_0","失礼ながら、
所持金が足りないようです。","cure_ng_E_0","エリザベス"
"not_accept_E_0","現在、発券できるチケットは
ございません。","not_accept_E_0","エリザベス"
"not_cancel_E_0","発券中のチケットはないようです。","not_cancel_E_0","エリザベス"
"accept_check_E_0","こちらのチケットを発券いたしますか？","accept_check_E_0","エリザベス"
"accept_overwrite_check_E_0","現在発券中のチケットを破棄して
こちらのチケットを発券いたしますか？","accept_overwrite_check_E_0","エリザベス"
"cancel_check_E_0","こちらのチケットを破棄なさいますか？","cancel_check_E_0","エリザベス"
"cancel_refuse_check_E_0","こちらのチケットは破棄できません。","cancel_refuse_check_E_0","エリザベス"
"cancel_end_E_0","チケットを破棄いたしました。","cancel_end_E_0","エリザベス"
"NHELP001_QUEST_E_0","『特別上映』とは、映画内で皆様が発見した
不思議な出来事が形となったもの。","NHELP001_QUEST_E_0","エリザベス"
"NHELP001_QUEST_E_1","『特別上映』は、本来の映画世界とは
異なる姿かたちをしております。","NHELP001_QUEST_E_1","エリザベス"
"NHELP001_QUEST_E_2","普段の探索では見つからなかった、新たな
発見や出来事と出会えるかもしれません。","NHELP001_QUEST_E_2","エリザベス"
"NHELP001_QUEST_E_3","探索に疲れた時や、行き詰った時などの
気分転換として楽しまれては如何でしょう？","NHELP001_QUEST_E_3","エリザベス"
"NHELP001_QUEST_E_4","また、特別上映をこなしていただいた際は、
対価として『報酬』をご用意しております。","NHELP001_QUEST_E_4","エリザベス"
"NHELP001_QUEST_E_5","こちらも是非、ご期待くださいませ。","NHELP001_QUEST_E_5","エリザベス"
"NHELP003_QUEST_REWARD_E_0","『特別上映』を無事こなしていただければ、
対価として『報酬』を差し上げます。","NHELP003_QUEST_REWARD_E_0","エリザベス"
"NHELP003_QUEST_REWARD_E_1","また、メリットはそれだけでは
ございません。","NHELP003_QUEST_REWARD_E_1","エリザベス"
"NHELP003_QUEST_REWARD_E_2","『特別上映』をこなした『経験値』は、
皆様をより高みへと導くでしょう。","NHELP003_QUEST_REWARD_E_2","エリザベス"
"NHELP003_QUEST_REWARD_E_3","この『経験値』はパーティ編成に関係なく、
等しく皆様の糧となります。","NHELP003_QUEST_REWARD_E_3","エリザベス"
"NHELP003_QUEST_REWARD_E_4","あなた方には『経験値』と『報酬』が。
私には素晴らしい映像体験が。","NHELP003_QUEST_REWARD_E_4","エリザベス"
"NHELP003_QUEST_REWARD_E_5","これぞウィンウィンでございます。
是非とも、お引き受けください。","NHELP003_QUEST_REWARD_E_5","エリザベス"
"NHELP003_QUEST_REWARD_E_6","なお、一度達成されました特別上映には
再び挑むことはできません。","NHELP003_QUEST_REWARD_E_6","エリザベス"
"NHELP003_QUEST_REWARD_E_7","ですので、達成なさるまでの間に隅々まで
ムシャブリ尽くして頂くのがよろしいかと。","NHELP003_QUEST_REWARD_E_7","エリザベス"
"NHELP005_QUEST_CANCEL_E_0","チケットを発券した後でも、
『チケットを破棄』することが可能です。","NHELP005_QUEST_CANCEL_E_0","エリザベス"
"NHELP005_QUEST_CANCEL_E_1","他の特別上映を見たい時や、進行に迷った時
などは、思いきって破棄なさってください。","NHELP005_QUEST_CANCEL_E_1","エリザベス"
"NHELP005_QUEST_CANCEL_E_2","もちろん、再発券も自由でございます。","NHELP005_QUEST_CANCEL_E_2","エリザベス"
"NHELP005_QUEST_CANCEL_E_3","上映が達成されるまでは、何度でも
チケットの発券が出来ますので、ご活用を。","NHELP005_QUEST_CANCEL_E_3","エリザベス"
"NHELP005_QUEST_CANCEL_E_4","そしてそして、な・ん・と～！
チケットの発券・破棄は全て無料！","NHELP005_QUEST_CANCEL_E_4","エリザベス"
"NHELP005_QUEST_CANCEL_E_5","是非とも、ふるってご利用くださいませ。","NHELP005_QUEST_CANCEL_E_5","エリザベス"
"quest_find_0","新たな特別上映が発生しました。
ここでチケットを発券してみましょう。","quest_find_0",""
"speaker_エリザベス","エリザベス","speaker_エリザベス",""
"speaker_マーガレット","マーガレット","speaker_マーガレット",""
"speaker_ダミー","ダミー","speaker_ダミー",""
