"source","target","id","developer_comments"
"msg_ps_skill_sel_0","是","msg_ps_skill_sel_0",""
"msg_ps_skill_sel_1","否","msg_ps_skill_sel_1",""
"msg_ps_skill_get_0","[颜色 02][占位A 01][颜色 01]“
”学会了[颜色 02][占位A 02][颜色 01]！","msg_ps_skill_get_0","机翻辅助：

[颜色 02][占位A 01][颜色 01]“
”学会了[颜色 02][占位A 02][颜色 01]！

>“[颜色 02][占位A 01][颜色 01]”记住了
“[颜色 02][占位A 02][颜色 01]”！

“[颜色 02][占位A 01][颜色 01]”记住了
“[颜色 02][占位A 02][颜色 01]”！"
"msg_ps_skill_rmskill_0","＞技能满了。
请选择要消除的技能。","msg_ps_skill_rmskill_0","机翻辅助：

＞技能满了。
请选择要消除的技能。

>技能一杯。
请选择消除的技能。

技能满满。
请选择消除技能。"
"msg_ps_skill_rmskill_q_0","＞要消除“[颜色 02][占位A 01][颜色 01]”吗？","msg_ps_skill_rmskill_q_0","机翻辅助：

＞要消除“[颜色 02][占位A 01][颜色 01]”吗？

要消除>“[颜色 02][占位A 01][颜色 01]”吗？

>删除“[颜色 02][占位A 01][颜色 01]”吗？"
"msg_ps_skill_rmskill0_0","＞“[颜色 02][占位A 01][颜色 01]”
了“[颜色 02][占位A 02][颜色 01]”。","msg_ps_skill_rmskill0_0","机翻辅助：

＞“[颜色 02][占位A 01][颜色 01]”
了“[颜色 02][占位A 02][颜色 01]”。

“[颜色 02][占位A 01][颜色 01]”忘记了“
”。[颜色 02][占位A 02][颜色 01]"
"msg_ps_skill_rmskill1_0","＞将“[颜色 02][占位A 01][颜色 01]”
为“[颜色 02][占位A 02][颜色 01]”。","msg_ps_skill_rmskill1_0","机翻辅助：

＞将“[颜色 02][占位A 01][颜色 01]”
为“[颜色 02][占位A 02][颜色 01]”。

把“[颜色 02][占位A 01][颜色 01]”换成了“
”。[颜色 02][占位A 02][颜色 01]"
"msg_ps_skill_rmskill2_0","[颜色 02][占位A 01][颜色 01]“
”升级为[颜色 02][占位A 02][颜色 01]　确定吗？","msg_ps_skill_rmskill2_0","机翻辅助：

[颜色 02][占位A 01][颜色 01]“
”升级为[颜色 02][占位A 02][颜色 01]　确定吗？

＞“[颜色 02][占位A 01][颜色 01]”升级为
“[颜色 02][占位A 02][颜色 01]”！

“[颜色 02][占位A 01][颜色 01]”升级为“
”！[颜色 02][占位A 02][颜色 01]"
"msg_ps_skill_chgend_0","＞技能替换完毕。
　确定吗？","msg_ps_skill_chgend_0","机翻辅助：

＞技能替换完毕。
　确定吗？

>结束技能的交换。
可以吗？

>技能的替换结束。
可以吗？"
"msg_ps_skill_check_money_0","＞[占位A 01]需要圆。
　确定吗？","msg_ps_skill_check_money_0","机翻辅助：

＞[占位A 01]需要圆。
　确定吗？

>[占位A 01]需要日元。
可以吗？

需要日元。[占位A 01]可以吗？"
"msg_ps_skill_check_money_2_0","＞钱不够。","msg_ps_skill_check_money_2_0","机翻辅助：

＞钱不够。

钱不够。"
