"source","target","id","developer_comments"
"system_yes_no_0","好的。","system_yes_no_0","机翻辅助：

好的。

是的

是"
"system_yes_no_1","不。","system_yes_no_1","机翻辅助：

不。

否

没有"
"system_camp_card_drop_0","要消灭这个人格面具吗？
确定吗？","system_camp_card_drop_0","机翻辅助：

要消灭这个人格面具吗？
确定吗？

消灭这个人格面具。
可以吗？"
"system_camp_card_drop_ng_0","装备中的人格面具无法消灭。","system_camp_card_drop_ng_0","机翻辅助：

装备中的人格面具无法消灭。

装备中的人格面具不能消灭。

装备中的人格面具不能消失。"
"system_camp_card_set_0","要装备这个人格面具吗？","system_camp_card_set_0","机翻辅助：

要装备这个人格面具吗？

你要装备这个人格面具吗？"
"system_camp_config_title_0","没有存档的资料
将会消失，
要回到标题画面吗？","system_camp_config_title_0","机翻辅助：

没有存档的资料
将会消失，
要回到标题画面吗？

没有保存的数据
会消失，
可以回到标题画面吗？

没有保存的数据
会消失，可以回到标题画面吗？"
"system_camp_quest_offer_0","＞任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
　接受了委托。","system_camp_quest_offer_0","机翻辅助：

＞任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
　接受了委托。

>接受了任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
委托。

接受了任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
委托。"
"system_camp_quest_end_0","＞任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
　完成了委托。","system_camp_quest_end_0","机翻辅助：

＞任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
　完成了委托。

完成了任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”的
委托。

完成任务[占位A 02]“[颜色 02][占位A 01][颜色 01]”
委托。"
"system_camp_quest_first_0","委托的任务
可以在选单画面的“Quest”中确认。","system_camp_quest_first_0","机翻辅助：

委托的任务
可以在选单画面的“Quest”中确认。

被委托的任务
菜单画面的“Quest”能确认。

被委托的任务
可以在菜单画面的“Quest”中确认。"
"system_camp_skillcard_al_0","＞[颜色 02][占位A 01][颜色 01]已经学会了
。","system_camp_skillcard_al_0","机翻辅助：

＞[颜色 02][占位A 01][颜色 01]已经学会了
。

[颜色 02][占位A 01][颜色 01]已经记得了。


已经记住了。[颜色 02][占位A 01][颜色 01]"
"system_camp_skillcard_ch_0","让我记住[颜色 02][占位A 01][颜色 01]？","system_camp_skillcard_ch_0","机翻辅助：

让我记住[颜色 02][占位A 01][颜色 01]？

让你记住>[颜色 02][占位A 01][颜色 01]吗？

＞要让[颜色 02][占位A 01][颜色 01]学会吗？"
"system_camp_skillcard_en_0","[颜色 02][占位A 02][颜色 01]
学会了[颜色 02][占位A 01][颜色 01]！","system_camp_skillcard_en_0","机翻辅助：

[颜色 02][占位A 02][颜色 01]
学会了[颜色 02][占位A 01][颜色 01]！

记住了[颜色 02][占位A 02][颜色 01]
[颜色 02][占位A 01][颜色 01]！

[颜色 02][占位A 02][颜色 01]记住了
[颜色 02][占位A 01][颜色 01]！"
"system_camp_skillcard_rm_0","＞技能满了。
　请选择要舍弃的技能。","system_camp_skillcard_rm_0","机翻辅助：

＞技能满了。
　请选择要舍弃的技能。

>技能一杯。
请选择舍弃的技能。

技能满满。
请选择舍弃的技能。"
"system_camp_skillcard_rm_2_0","＞要舍弃“[颜色 02][占位A 01][颜色 01]”吗？","system_camp_skillcard_rm_2_0","机翻辅助：

＞要舍弃“[颜色 02][占位A 01][颜色 01]”吗？

＞舍弃“[颜色 02][占位A 01][颜色 01]”吗？

舍弃>“[颜色 02][占位A 01][颜色 01]”吗？"
"system_camp_skillcard_ch_2_0","＞“[颜色 02][占位A 01][颜色 01]”学会了
。[颜色 02][占位A 02][颜色 01]","system_camp_skillcard_ch_2_0","机翻辅助：

＞“[颜色 02][占位A 01][颜色 01]”学会了
。[颜色 02][占位A 02][颜色 01]

“[颜色 02][占位A 01][颜色 01]”记住了
“[颜色 02][占位A 02][颜色 01]”。

“[颜色 02][占位A 01][颜色 01]”记住了“
”。[颜色 02][占位A 02][颜色 01]"
