"source","target","id","developer_comments"
"weapon_001_0","扱いやすい小さなナイフ","weapon_001_0",""
"weapon_002_0","軽い素材で作られたナイフ
特性：[颜色 04]速＋２[颜色 01]","weapon_002_0",""
"weapon_003_0","鋭さが増した小さなダガー
特性：[颜色 04]命中率１０％アップ[颜色 01]","weapon_003_0",""
"weapon_004_0","赤い毒の塗られた怪しく光るナイフ
特性：[颜色 04]低確率で『麻痺』付着[颜色 01]","weapon_004_0",""
"weapon_005_0","ネパール産の湾曲した刀身のナイフ","weapon_005_0",""
"weapon_006_0","刀身を赤熱加工して毒を塗りやすくした短剣
特性：[颜色 04]低確率で『毒』付着[颜色 01]","weapon_006_0",""
"weapon_007_0","刀身が銀でコーティングされた儀式用短剣
特性：[颜色 04]魔＋１[颜色 01]","weapon_007_0",""
"weapon_008_0","黒く鋭利な鉱石を持ちやすく加工したナイフ
特性：[颜色 04]低威力で『貫通』効果[颜色 01]","weapon_008_0",""
"weapon_009_0","品格と切れ味を強化した美しい短剣
特性：[颜色 04]運＋２[颜色 01]","weapon_009_0",""
"weapon_00A_0","高級感と切れ味を増したナイフ
特性：[颜色 04]最大ＳＰ１０％アップ[颜色 01]","weapon_00A_0",""
"weapon_00B_0","殺人的な威容を誇るナイフ
特性：[颜色 04]速＋３[颜色 01]","weapon_00B_0",""
"weapon_00C_0","科学の力を帯びた近未来の短剣
特性：[颜色 04]中確率で『麻痺』付着[颜色 01]","weapon_00C_0",""
"weapon_00D_0","自然界には無い鉱物を鍛え上げた小型ナイフ
特性：[颜色 04]クリティカル率５％アップ[颜色 01]","weapon_00D_0",""
"weapon_00E_0","本来の用途から外れた使い方をされ続けた匙
特性：[颜色 04]低確率で『即死』効果[颜色 01]","weapon_00E_0",""
"weapon_00F_0","攻撃を弾く磁場を発生させる不思議な短剣
特性：[颜色 04]耐＋４[颜色 01]","weapon_00F_0",""
"weapon_010_0","とある錬金術師が所持した悪魔を宿す短剣
特性：[颜色 04]最大ＳＰ１０％アップ／魔＋３[颜色 01]","weapon_010_0",""
"weapon_011_0","あらゆる状況に対応できる仕込みがされた杖
特性：[颜色 04]全パラメーター＋２[颜色 01]","weapon_011_0",""
"weapon_012_0","尋常ならざる切れ味と呪いを持つ小刀
特性：[颜色 04]クリティカル率２０％アップ／魔＋２[颜色 01]","weapon_012_0",""
"weapon_013_0","慈悲の一撃を与えるとされる全てを貫く短剣
特性：[颜色 04]低確率で『即死』効果／速＋５[颜色 01]","weapon_013_0",""
"weapon_014_0","楽園を奪い返すため神に叛く者が持つ短剣
特性：[颜色 04]ＨＰコスト半減／魔＋４／速＋５[颜色 01]","weapon_014_0",""
"weapon_016_0","脱獄映画で使われたスプーンのレプリカ
特性：[颜色 04]耐＋１[颜色 01]","weapon_016_0",""
"weapon_017_0","ホラー映画で生き残った人物が使ったナイフ
特性：[颜色 04]運＋２[颜色 01]","weapon_017_0",""
"weapon_021_0","握りやすくちょうど良い長さの鉄パイプ","weapon_021_0",""
"weapon_022_0","先端に釘を打って殺傷力を高めた棒
特性：[颜色 04]命中率＋５％[颜色 01]","weapon_022_0",""
"weapon_023_0","軽く振り回すと気持ちよい音がする棒
特性：[颜色 04]速＋３[颜色 01]","weapon_023_0",""
"weapon_024_0","打撃と斬撃をかねそなえた棒状の武器
特性：[颜色 04]クリティカル率５％アップ[颜色 01]","weapon_024_0",""
"weapon_025_0","改造された鉄製のパイプ状の鈍器
特性：[颜色 04]耐＋１[颜色 01]","weapon_025_0",""
"weapon_027_0","重さを上げたことで威力を上げた棒状鈍器","weapon_027_0",""
"weapon_028_0","大きな生き物の太ももの骨を加工した棒
特性：[颜色 04]最大ＨＰ５％アップ／耐＋２[颜色 01]","weapon_028_0",""
"weapon_029_0","オニの金棒の材質を使用した鉄パイプ
特性：[颜色 04]耐＋３[颜色 01]","weapon_029_0",""
"weapon_02A_0","相手を眠らせる打点が解る棒状鈍器
特性：[颜色 04]中確率で『睡眠』付着[颜色 01]","weapon_02A_0",""
"weapon_02B_0","鉄菱を装着して殺傷能力を高めた棒状鈍器
特性：[颜色 04]クリティカル率１０％アップ[颜色 01]","weapon_02B_0",""
"weapon_02C_0","超高層ビルの鉄筋に使われる鉄パイプ
特性：[颜色 04]最大ＳＰ１０％アップ／魔＋３[颜色 01]","weapon_02C_0",""
"weapon_02D_0","狼の牙に似せた棘を先端に仕込んだ棍棒
特性：[颜色 04]速＋４[颜色 01]","weapon_02D_0",""
"weapon_02E_0","大いなる神が振るう生死を司る棍棒
特性：[颜色 04]クリティカル率１５％アップ[颜色 01]","weapon_02E_0",""
"weapon_02F_0","大地の力が秘められた鉱物でできた棒状鈍器
特性：[颜色 04]最大ＳＰ１０％アップ／魔＋１[颜色 01]","weapon_02F_0",""
"weapon_030_0","小アルカナのワンドの元とされる棍棒
特性：[颜色 04]クリティカル率５％アップ／速＋３[颜色 01]","weapon_030_0",""
"weapon_031_0","古来中国に伝わる竜の神が授ける棒状鈍器
特性：[颜色 04]最大ＨＰ１５％アップ／力＋３[颜色 01]","weapon_031_0",""
"weapon_032_0","振るうだけで３つの願いが叶うとされる棍棒
特性：[颜色 04]高確率で『呪い』付着[颜色 01]","weapon_032_0",""
"weapon_033_0","あらゆる固形物を破壊する力を持つ棒状鈍器
特性：[颜色 04]クリティカル率２０％アップ／耐＋２[颜色 01]","weapon_033_0",""
"weapon_034_0","自在に伸びる太上老君が作ったとされる宝具
特性：[颜色 04]ＨＰコスト半減／力＋５／耐＋４[颜色 01]","weapon_034_0",""
"weapon_036_0","人気劇場版アニメの応援上映の限定販売品
特性：[颜色 04]クリティカル率５％アップ[颜色 01]","weapon_036_0",""
"weapon_037_0","樹齢の高い巨木の落ち枝を使った棒
特性：[颜色 04]最大SP５％アップ／魔＋２[颜色 01]","weapon_037_0",""
"weapon_041_0","それなりの長さのある皮のムチ
特性：[颜色 04]遠距離[颜色 01]","weapon_041_0",""
"weapon_043_0","叩かれると痛みと同時に何かが湧き立つムチ
特性：[颜色 04]遠距離[颜色 01]","weapon_043_0",""
"weapon_044_0","先端に鉄塊をつけた鎖状のムチ
特性：[颜色 04]遠距離／低確率で『混乱』付着[颜色 01]","weapon_044_0",""
"weapon_045_0","叩かれた時の痛みが増すよう工夫されたムチ
特性：[颜色 04]遠距離／クリティカル率５％アップ[颜色 01]","weapon_045_0",""
"weapon_046_0","特性：[颜色 04]拡散[颜色 01]","weapon_046_0",""
"weapon_047_0","叩いた対象に絡みつく、しなやかなムチ
特性：[颜色 04]遠距離／低確率で『速封じ』付着[颜色 01]","weapon_047_0",""
"weapon_048_0","古代植物らしきツルを編んで作ったムチ
特性：[颜色 04]遠距離／低威力で『拡散』効果[颜色 01]","weapon_048_0",""
"weapon_049_0","肌を引き裂く伸縮変形型のムチ
特性：[颜色 04]遠距離／クリティカル率５％アップ[颜色 01]","weapon_049_0",""
"weapon_04A_0","電気が流れる伸縮変形型のムチ
特性：[颜色 04]遠距離／低確率で『麻痺』付着[颜色 01]","weapon_04A_0",""
"weapon_04B_0","小さな歯のついた鎖でできたムチ
特性：[颜色 04]遠距離／低威力で『貫通』効果[颜色 01]","weapon_04B_0",""
"weapon_04C_0","衝撃波が周りに広がる長めのムチ
特性：[颜色 04]遠距離／中威力で『拡散』効果[颜色 01]","weapon_04C_0",""
"weapon_04D_0","知勇にすぐれた女性に相応しいムチ
特性：[颜色 04]遠距離／最大ＨＰ＆ＳＰ５％アップ[颜色 01]","weapon_04D_0",""
"weapon_04E_0","決して引かない痛みを与える事のできるムチ
特性：[颜色 04]遠距離／クリティカル率１０％アップ[颜色 01]","weapon_04E_0",""
"weapon_04F_0","尊敬・純潔・契約の力が宿る棘のあるムチ
特性：[颜色 04]遠距離／最大ＳＰ５％アップ／運＋３[颜色 01]","weapon_04F_0",""
"weapon_050_0","相手の精神を打ち据えることができるムチ
特性：[颜色 04]遠距離／中確率で『魔封じ』付着[颜色 01]","weapon_050_0",""
"weapon_051_0","九尾の妖狐の尾を模した妖力の宿るムチ
特性：[颜色 04]遠距離／最大ＳＰ１０％アップ[颜色 01]","weapon_051_0",""
"weapon_052_0","不可能を可能にする力が宿る棘のあるムチ
特性：[颜色 04]遠距離／低確率でいずれかの封じ付着[颜色 01]","weapon_052_0",""
"weapon_053_0","永遠の夜を支配する最後の女王が持つムチ
特性：[颜色 04]遠距離／高確率で『睡眠』付着[颜色 01]","weapon_053_0",""
"weapon_054_0","二本の蛟竜が化したという双鞭の宝具
特性：[颜色 04]遠距離／ＨＰコスト半減／魔＋７[颜色 01]","weapon_054_0",""
"weapon_056_0","フランス革命を舞台にした映画のグッズ
特性：[颜色 04]遠距離[颜色 01]","weapon_056_0",""
"weapon_057_0","いぶし銀の探検家の活躍する映画のグッズ
特性：[颜色 04]遠距離／速＋１[颜色 01]","weapon_057_0",""
"weapon_061_0","本物に近いレプリカの日本刀","weapon_061_0",""
"weapon_062_0","伝統的な行程を踏んで作られた刀
特性：[颜色 04]命中率５％アップ[颜色 01]","weapon_062_0",""
"weapon_063_0","馬ごと切り裂くとされる大きな刀
特性：[颜色 04]低威力で『拡散』効果[颜色 01]","weapon_063_0",""
"weapon_064_0","隕石の欠片から取れた鉄を混ぜて作った刀
特性：[颜色 04]最大ＳＰ１０％アップ[颜色 01]","weapon_064_0",""
"weapon_065_0","鎌倉時代初期の刀工の作品レプリカ","weapon_065_0",""
"weapon_067_0","将校が携帯した実用的かつ美しい軍刀
特性：[颜色 04]命中率１０％アップ[颜色 01]","weapon_067_0",""
"weapon_068_0","剣先から毒がしみ出るよう加工された刀
特性：[颜色 04]低確率で『毒』付着[颜色 01]","weapon_068_0",""
"weapon_069_0","大業物と呼ばれる刀のひとつとされる名刀
特性：[颜色 04]低威力で『貫通』効果[颜色 01]","weapon_069_0",""
"weapon_06A_0","明治政府軍で使用されていた刀
特性：[颜色 04]耐＋２／速＋２[颜色 01]","weapon_06A_0",""
"weapon_06B_0","長い煙管に見せかけた仕込み刀
特性：[颜色 04]クリティカル率１０％アップ[颜色 01]","weapon_06B_0",""
"weapon_06C_0","美しい女性を思わせる艶めかしい刀身の刀
特性：[颜色 04]最大ＳＰ１５％アップ／魔＋２[颜色 01]","weapon_06C_0",""
"weapon_06D_0","大般若経六百巻の価値があるとされる刀
特性：[颜色 04]最大ＨＰ１０％アップ[颜色 01]","weapon_06D_0",""
"weapon_06E_0","３尺余という長さの刀身を持つ日本刀
特性：[颜色 04]中威力で『拡散』効果[颜色 01]","weapon_06E_0",""
"weapon_06F_0","邪鬼を退治する神が使うとされる刀
特性：[颜色 04]力＋５[颜色 01]","weapon_06F_0",""
"weapon_070_0","飛んでくる銃弾すらも二つに斬る刀
特性：[颜色 04]クリティカル率１５％アップ[颜色 01]","weapon_070_0",""
"weapon_071_0","不動明王の彫物が入った名匠正宗作の銘刀
特性：[颜色 04]最大ＨＰ１０％アップ／耐＋３[颜色 01]","weapon_071_0",""
"weapon_072_0","数奇な運命を宿す不思議な太刀
特性：[颜色 04]中威力で『拡散』効果[颜色 01]","weapon_072_0",""
"weapon_073_0","嵐のように血が舞う魔の力を宿す刀
特性：[颜色 04]高確率で『呪い』付着[颜色 01]","weapon_073_0",""
"weapon_074_0","とある噂の力により生まれたとされる刀
特性：[颜色 04]ＨＰコスト半減／力＋２／速＋７[颜色 01]","weapon_074_0",""
"weapon_076_0","幕末を舞台にした剣客映画のグッズ
特性：[颜色 04]クリティカル率５％アップ[颜色 01]","weapon_076_0",""
"weapon_077_0","肋骨の中でも一番硬い箇所を研いで鍛えた刀
特性：[颜色 04]耐＋２[颜色 01]","weapon_077_0",""
"weapon_081_0","刀身が光でできたサーベル状の武器","weapon_081_0",""
"weapon_082_0","煌めく刀身がまぶしい片刃の剣
特性：[颜色 04]命中率５％アップ[颜色 01]","weapon_082_0",""
"weapon_083_0","刀身に毒の塗られた片刃の剣
特性：[颜色 04]低確率で『毒』付着[颜色 01]","weapon_083_0",""
"weapon_084_0","紫に淡く光る刀身の片刃の剣
特性：[颜色 04]魔＋２[颜色 01]","weapon_084_0",""
"weapon_085_0","名声を得た者の輝きを持つ片刃の剣","weapon_085_0",""
"weapon_087_0","物質を構成する粒子を制御して作られた剣
特性：[颜色 04]最大ＳＰ１０％アップ[颜色 01]","weapon_087_0",""
"weapon_088_0","惑星の光を集めたとされるビームサーベル
特性：[颜色 04]最大ＨＰ１０％アップ[颜色 01]","weapon_088_0",""
"weapon_089_0","原子単位で制御されたビームサーベル
特性：[颜色 04]最大ＳＰ５％アップ[颜色 01]","weapon_089_0",""
"weapon_08A_0","高い運動エネルギーを持つ粒子で光る剣
特性：[颜色 04]パーティゲージ上昇率アップ[颜色 01]","weapon_08A_0",""
"weapon_08B_0","次世代の運動エネルギーを使った光る剣
特性：[颜色 04]クリティカル率５％アップ／速＋２[颜色 01]","weapon_08B_0",""
"weapon_08C_0","陰極や陽極に引かれて動くビームサーベル
特性：[颜色 04]最大ＨＰ＆ＳＰ１０％アップ[颜色 01]","weapon_08C_0",""
"weapon_08D_0","光を圧縮した刀身を持つビームサーベル
特性：[颜色 04]低確率で『睡眠』付着／速＋２[颜色 01]","weapon_08D_0",""
"weapon_08E_0","正極に極負荷をかけることで生まれた光る剣
特性：[颜色 04]最大ＨＰ１５％アップ[颜色 01]","weapon_08E_0",""
"weapon_08F_0","負極に極負荷をかけることで生まれた光る剣
特性：[颜色 04]最大ＳＰ１５％アップ[颜色 01]","weapon_08F_0",""
"weapon_090_0","原子核を構成する粒子を制御して生まれた剣
特性：[颜色 04]中確率で『速封じ』付着[颜色 01]","weapon_090_0",""
"weapon_091_0","空間を切断する光を放つビームサーベル
特性：[颜色 04]中威力で『貫通』効果[颜色 01]","weapon_091_0",""
"weapon_092_0","理力の流れを掴むモノが持つとされる光る剣
特性：[颜色 04]最大ＳＰ１０％アップ／速＋３[颜色 01]","weapon_092_0",""
"weapon_093_0","全ての終わりのエネルギーを集めた光る剣
特性：[颜色 04]高威力で『拡散』効果[颜色 01]","weapon_093_0",""
"weapon_094_0","人類史上最強の核融合の力を秘めた光る剣
特性：[颜色 04]ＨＰコスト半減／力＋３／魔＋６[颜色 01]","weapon_094_0",""
"weapon_096_0","有名ＳＦ映画の新作公開を記念したグッズ
特性：[颜色 04]最大ＳＰ５％アップ[颜色 01]","weapon_096_0",""
"weapon_097_0","アラビアが舞台の４時間の長編映画のグッズ
特性：[颜色 04]クリティカル率５％アップ[颜色 01]","weapon_097_0",""
"weapon_0A2_0","しっかりと標的を狙える小型のパチンコ
特性：[颜色 04]遠距離[颜色 01]","weapon_0A2_0",""
"weapon_0A3_0","威力を増した強力なパチンコ
特性：[颜色 04]遠距離[颜色 01]","weapon_0A3_0",""
"weapon_0A4_0","命中率は低いが当たると痛い大型パチンコ
特性：[颜色 04]遠距離／クリティカル率５％アップ[颜色 01]","weapon_0A4_0",""
"weapon_0A5_0","弱めの神経毒を塗った玉を発射できる射出機
特性：[颜色 04]遠距離／低確率で『麻痺』付着[颜色 01]","weapon_0A5_0",""
