"source","target","id","developer_comments"
"ELIZABETH_FOE_FOLLOW_STA_0","漂亮地锁定目标。 ","ELIZABETH_FOE_FOLLOW_STA_0","机翻辅助：

漂亮地锁定目标。 

非常棒的摇滚乐。 

完美地锁定了。"
"THEODOR_FOE_FOLLOW_START_0","各位，F.O.E正在追踪。　　 ","THEODOR_FOE_FOLLOW_START_0","机翻辅助：

各位，F.O.E正在追踪。　　 

各位，F.O.E正在跟踪。"
"ELIZABETH_FOE_FOLLOW_STA_2_0","紧急状况。 ","ELIZABETH_FOE_FOLLOW_STA_2_0","机翻辅助：

紧急状况。 

我是emergency。 

这是紧急情况。"
"THEODOR_FOE_FOLLOW_START_2_0","啊！？　　
F.O.E似乎发现了。 ","THEODOR_FOE_FOLLOW_START_2_0","机翻辅助：

啊！？　　
F.O.E似乎发现了。 

哈！？
好像注意到了F.O.E。 

哈！？
好象被F.O.E注意到了。"
"ELIZABETH_FOE_FOLLOW_STA_3_0","哎呀，F.O.E在追踪……　　
西奥，交给你了。 ","ELIZABETH_FOE_FOLLOW_STA_3_0","机翻辅助：

哎呀，F.O.E在追踪……　　
西奥，交给你了。 

哎呀F.O.E处于跟踪状态……
西奥，交给你了。 

F.O.E跟踪状态……
西奥，交给你了。"
"THEODOR_FOE_FOLLOW_START_3_0","咦？啊！请、请小心！ ","THEODOR_FOE_FOLLOW_START_3_0","机翻辅助：

咦？啊！请、请小心！ 

啊、啊，请注意！ 

啊、啊、请注意！"
"ELIZABETH_FOE_NEAR_1_0","附近似乎有F.O.E
 ","ELIZABETH_FOE_NEAR_1_0","机翻辅助：

附近似乎有F.O.E
 

附近好像有F.O.E
。 

附近好像有F.O.E"
"THEODOR_FOE_NEAR_1_0","请注意！ ","THEODOR_FOE_NEAR_1_0","机翻辅助：

请注意！ 

各位，请注意！"
"ELIZABETH_FOE_NEAR_2_0","F.O.E接近警报发布。 ","ELIZABETH_FOE_NEAR_2_0","机翻辅助：

F.O.E接近警报发布。 

发出接近警报。 

F.O.E发出接近警报。"
"THEODOR_FOE_NEAR_2_0","附近有F.O.E！ ","THEODOR_FOE_NEAR_2_0","机翻辅助：

附近有F.O.E！ 

各位，F.O.E就在附近！ 

各位，附近有F.O.E！"
"ELIZABETH_FOE_NEAR_3_0","侦测到F.O.E反应。 
Let's go。 ","ELIZABETH_FOE_NEAR_3_0","机翻辅助：

侦测到F.O.E反应。 
Let's go。 

有F.O.E反应。
这是红果。 

有F.O.E反应。我是雷兹拉戈。"
"THEODOR_FOE_NEAR_3_0","啊，不行！请小心！ ","THEODOR_FOE_NEAR_3_0","机翻辅助：

啊，不行！请小心！ 

啊，不行！请注意！"
"ELIZABETH_FOE_FOLLOW_END_0","逃跑的速度真快。 ","ELIZABETH_FOE_FOLLOW_END_0","机翻辅助：

逃跑的速度真快。 

是漂亮的逃跑的脚。 

逃得很漂亮。"
"THEODOR_FOE_FOLLOW_END_1_0","呼，看来F.O.E
放弃了。 ","THEODOR_FOE_FOLLOW_END_1_0","机翻辅助：

呼，看来F.O.E
放弃了。 

嗯，看来F.O.E已经放弃了。"
