ja,zh_Hans
ハサミエビ,夹钳虾
かみつき魚,啃咬鱼
イビルフィッシュ,恶魔鱼
ホシゾラウミウシ,星空海蛞蝓
ヒョウフラシ,白斑海蛞蝓
カミナリオコシ,招雷海蛞蝓
毒マツタケ,毒松茸
トリップマッシュ,幻觉蘑菇
痺れエリンギ,麻痹杏鲍菇
ノロイダケ,诅咒菇
うずまきフグ,漩涡河豚
アカトビヒトデ,红跳海星
アオトビヒトデ,蓝跳海星
ダイオウヒトデ,大王海星
竜のタマゴ,龙蛋
パンドラエッグ,潘多拉之卵
ドラゴンパピー,龙宝宝
異海の落とし子,异海之子
ケセランパサラン,神秘毛球
クリオネアン,裸海蝶
ワオキツネザル,环尾狐猴
キリサキザル,利爪猴
オオカモノハシ,巨型鸭嘴兽
お化けドリアン,榴莲怪
バッドフルーツ,腐坏果
オウムガイ,鹦鹉螺
アンモナイト,菊石
人食いサンゴ,食人珊瑚
ロックコーラル,岩石珊瑚
ヨウガンジュウ,熔岩兽
フカメディウム,鲛人法师
フカメイデン,鲛人少女
ヤドリギ,槲寄生
吸い尽くす宿木,净吸槲寄生
カメガイム,重战机甲虫
巨大ムカデ,巨大蜈蚣
オオヤマネコ,猞猁
ホムラヤマネコ,火焰山猫
ボルトキャット,雷电猫
ハイオンネプ,巨海狗
ハイウォルラス,巨海象
解き放たれし凶獣,被释放的凶暴海兽
アカグロダコ,红黑章鱼
ギンイロダコ,白银章鱼
フカトルーダー,鲛人士兵
フカレイダー,鲛人劫掠者
イプピアーラ,伊普皮亚拉
白狐,白狐
神罰をもたらす者,降下神罚者
カミキリオン,腐毒天牛
タイタンアルム,巨魔芋
瘴気の腐花,瘴气腐花
オオアナコンダ,大森蚺
シロガネカガシ,白银巨蛇
古海の放浪者,古海漂泊者
巨大ライギョ,巨大雷鱼
波浪の襲撃者,波浪袭击者
クーラスクス,酷拉龙
オールイーター,吞噬兽
オオアリクイ,大食蚁兽
異海の巫女,异海巫女
異海の胸甲兵,异海胸甲兵
沈黙の夢食い,沉默食梦兽
悪夢を運ぶ者,噩梦使者
ビックビル,巨喙鸟
怒れる暴者,愤怒暴徒
貪欲な毒蜥蜴,贪欲毒蜥蜴
嗅ぎ回る毒竜,嗅探毒龙
襲来する鱗竜,好战鳞龙
母なる爆炎竜,龙母爆炎龙
ステゴサウルス,剑龙
オオヤドカリ,大寄居蟹
火炎トカゲ,火焰蜥蜴
ガラガラノヅチ,响尾野槌蛇
ガードアント,卫兵蚁
キラーアント,杀手蚁
ライチョウ,岩雷鸟
森ネズミ,森林鼠
森ウサギ,森林兔
ひっかきモグラ,利爪鼹鼠
ソードフィッシュ,剑鱼
