"source","target","id","developer_comments"
"material_D01_0","隐藏不可思议力量的戒指
特性：在商店鉴定后可得知效果","material_D01_0","机翻辅助：

隐藏不可思议力量的戒指
特性：在商店鉴定后可得知效果

隐藏着不可思议力量的戒指
特性：在商店鉴定的话效果就会判明

隐藏不可思议的力量的戒指
特性：在商店鉴定的话效果判明"
"material_D02_0","隐藏不可思议力量的发夹
特性：在商店鉴定后可得知效果","material_D02_0","机翻辅助：

隐藏不可思议力量的发夹
特性：在商店鉴定后可得知效果

隐藏不可思议的力量的扣具
特性：用商店鉴定的话效果判明

隐藏着不可思议力量的扣子
特性：在商店鉴定的话效果就会判明"
"material_D03_0","发出淡淡光芒的隐藏不可思议力量的戒指
特性：在商店鉴定后可得知效果","material_D03_0","机翻辅助：

发出淡淡光芒的隐藏不可思议力量的戒指
特性：在商店鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的戒指
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的戒指
特性：在商店鉴定的话效果判明"
"material_D04_0","发出淡淡光芒的隐藏不可思议力量的发夹
特性：在商店鉴定后可得知效果","material_D04_0","机翻辅助：

发出淡淡光芒的隐藏不可思议力量的发夹
特性：在商店鉴定后可得知效果

隐藏了淡淡的发光不可思议的力量的扣具
特性：用商店鉴定的话效果判明

隐藏着淡淡发光的不可思议力量的扣件
特性：在商店鉴定的话效果就会判明"
"material_D06_0","隐藏不可思议力量的头带
特性：在商店鉴定后可得知效果","material_D06_0","机翻辅助：

隐藏不可思议力量的头带
特性：在商店鉴定后可得知效果

隐藏着不可思议力量的头巾
特性：在商店鉴定的话效果就会判明

隐藏不可思议的力量的头巾
特性：在商店鉴定的话效果判明"
"material_D07_0","隐藏不可思议力量的胸针
特性：在商店鉴定后可得知效果","material_D07_0","机翻辅助：

隐藏不可思议力量的胸针
特性：在商店鉴定后可得知效果

隐藏着不可思议力量的胸针
特性：在商店鉴定的话效果判明"
"material_D08_0","发出淡淡光芒的隐藏不可思议力量的头带
特性：在商店鉴定后可得知效果","material_D08_0","机翻辅助：

发出淡淡光芒的隐藏不可思议力量的头带
特性：在商店鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的头巾
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光的不可思议的力量的头卷
特性：在商店鉴定的话效果判明"
"material_D09_0","发出淡淡光芒的隐藏不可思议力量的胸针
特性：在商店鉴定后可得知效果","material_D09_0","机翻辅助：

发出淡淡光芒的隐藏不可思议力量的胸针
特性：在商店鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的胸针
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的胸针
特性：在商店鉴定的话效果判明"
"material_D0A_0","发出淡淡光芒的隐藏不可思议力量的饰品
特性：在商店鉴定后可得知效果","material_D0A_0","机翻辅助：

发出淡淡光芒的隐藏不可思议力量的饰品
特性：在商店鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的饰品
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的饰品
特性：在商店鉴定的话效果判明"
"material_D0C_0","隐藏不可思议力量的腰带
特性：在商店鉴定后可得知效果","material_D0C_0","机翻辅助：

隐藏不可思议力量的腰带
特性：在商店鉴定后可得知效果

隐藏着不可思议力量的带子
特性：在商店鉴定的话效果判明

隐藏不可思议的力量的腰带
特性：用商店鉴定的话效果判明"
"material_D0D_0","隐藏不可思议力量的护符
特性：在商店鉴定后可得知效果","material_D0D_0","机翻辅助：

隐藏不可思议力量的护符
特性：在商店鉴定后可得知效果

隐藏着不可思议力量的魅力
特性：在商店鉴定的话效果判明

隐藏不可思议的力量的魅力
特性：用商店鉴定的话效果判明"
"material_D0E_0","蕴含淡淡光芒的神秘力量的腰带
特性：在商店接受鉴定后可得知效果","material_D0E_0","机翻辅助：

蕴含淡淡光芒的神秘力量的腰带
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的带子
特性：在商店鉴定的话效果判明

隐藏了淡淡的发光不可思议的力量的带子
特性：用商店鉴定的话效果判明"
"material_D0F_0","蕴含淡淡光芒的神秘力量的饰品
特性：在商店接受鉴定后可得知效果","material_D0F_0","机翻辅助：

蕴含淡淡光芒的神秘力量的饰品
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的魅力
特性：在商店鉴定的话效果就会判明

隐藏了淡淡的发光不可思议的力量的魅力
特性：用商店鉴定的话效果判明"
"material_D10_0","蕴含光辉灿烂的神秘力量的首饰
特性：在商店接受鉴定后可得知效果","material_D10_0","机翻辅助：

蕴含光辉灿烂的神秘力量的首饰
特性：在商店接受鉴定后可得知效果

隐藏了闪耀的不可思议的力量的饰品
特性：在商店鉴定的话效果判明

隐藏着光辉不可思议的力量的饰品
特性：在商店鉴定的话效果判明"
"material_D12_0","蕴含神秘力量的眼罩
特性：在商店接受鉴定后可得知效果","material_D12_0","机翻辅助：

蕴含神秘力量的眼罩
特性：在商店接受鉴定后可得知效果

隐藏不可思议的力量的眼带
特性：在商店鉴定的话效果判明

隐藏着不可思议力量的眼罩
特性：在商店鉴定的话效果判明"
"material_D13_0","蕴含神秘力量的脚炼
特性：在商店接受鉴定后可得知效果","material_D13_0","机翻辅助：

蕴含神秘力量的脚炼
特性：在商店接受鉴定后可得知效果

隐藏着不可思议力量的Ank
特性：在商店鉴定的话效果就会判明

隐藏不可思议的力量的安克
特性：用商店鉴定的话效果判明"
"material_D14_0","蕴含淡淡光芒的神秘力量的眼罩
特性：在商店接受鉴定后可得知效果","material_D14_0","机翻辅助：

蕴含淡淡光芒的神秘力量的眼罩
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的眼罩
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的眼带
特性：用商店鉴定的话效果判明"
"material_D15_0","蕴含淡淡光芒的神秘力量的脚炼
特性：在商店接受鉴定后可得知效果","material_D15_0","机翻辅助：

蕴含淡淡光芒的神秘力量的脚炼
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的安克
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的暗克
特性：用商店鉴定的话效果判明"
"material_D16_0","蕴含光辉灿烂的神秘力量的首饰
特性：在商店接受鉴定后可得知效果","material_D16_0","机翻辅助：

蕴含光辉灿烂的神秘力量的首饰
特性：在商店接受鉴定后可得知效果

隐藏了闪耀的不可思议的力量的饰品
特性：在商店鉴定的话效果判明

隐藏着发光的不可思议的力量的饰品
特性：在商店鉴定的话效果判明"
"material_D18_0","蕴含神秘力量的勾玉
特性：在商店接受鉴定后可得知效果","material_D18_0","机翻辅助：

蕴含神秘力量的勾玉
特性：在商店接受鉴定后可得知效果

隐藏不可思议力量的勾玉
特性：在商店鉴定的话效果判明

隐藏着不可思议力量的勾玉特性：在商店鉴定的话效果就会判明"
"material_D19_0","蕴含神秘力量的宝珠
特性：在商店接受鉴定后可得知效果","material_D19_0","机翻辅助：

蕴含神秘力量的宝珠
特性：在商店接受鉴定后可得知效果

隐藏着不可思议的力量的奥布
特性：在商店鉴定的话效果判明

隐藏不可思议的力量的奥布
特性：用商店鉴定的话效果判明"
"material_D1A_0","蕴含淡淡光芒的神秘力量的勾玉
特性：在商店接受鉴定后可得知效果","material_D1A_0","机翻辅助：

蕴含淡淡光芒的神秘力量的勾玉
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的勾玉
特性：在商店鉴定的话效果就会判明

隐藏着淡淡的发光不可思议的力量的勾玉
特性：用商店鉴定的话效果判明"
"material_D1B_0","蕴含淡淡光芒的神秘力量的宝珠
特性：在商店接受鉴定后可得知效果","material_D1B_0","机翻辅助：

蕴含淡淡光芒的神秘力量的宝珠
特性：在商店接受鉴定后可得知效果

隐藏着淡淡发光的不可思议力量的奥布
特性：在商店鉴定的话效果就会判明

隐藏了淡淡的发光不可思议的力量的奥布
特性：用商店鉴定的话效果判明"
"material_D1C_0","蕴含神圣且神秘力量的首饰
特性：在商店接受鉴定后可得知效果","material_D1C_0","机翻辅助：

蕴含神圣且神秘力量的首饰
特性：在商店接受鉴定后可得知效果

隐藏着神圣而不可思议的力量的饰品
特性：在商店鉴定的话效果就会判明

隐藏神圣且不可思议的力量的饰品
特性：在商店鉴定的话效果判明"
