"source","target","id","developer_comments"
"ISHOP_MSG_EITHER_0","是","ISHOP_MSG_EITHER_0",""
"ISHOP_MSG_EITHER_1","否","ISHOP_MSG_EITHER_1",""
"ISHOP_BUY_MSG2_0","＞[占位A 02]个是[占位A 03]圆。
　要购买吗？","ISHOP_BUY_MSG2_0","机翻辅助：

＞[占位A 02]个是[占位A 03]圆。
　要购买吗？

＞[占位A 02]个[占位A 03]圆。
　购买吗？

＞[占位A 02]个就是[占位A 03]圆。
　购买吗？"
"ISHOP_ADDNEW_0","新商品进货咯。","ISHOP_ADDNEW_0","机翻辅助：

新商品进货咯。

新的商品到货了哦。

新商品到货了哦。"
"ISHOP_ADDNEW_1","买了好多东西。","ISHOP_ADDNEW_1","机翻辅助：

买了好多东西。

买了很多东西呢。"
"ISHOP_HELLO_0","哎～呀，欢迎光临。","ISHOP_HELLO_0","机翻辅助：

哎～呀，欢迎光临。

啊，欢迎光临。"
"SPECIAL_SELL_0","今天是雨天，所以是特价日哦。
下雨天客人就不会来了。","SPECIAL_SELL_0","机翻辅助：

今天是雨天，所以是特价日哦。
下雨天客人就不会来了。

今天是雨天，所以是特卖日哦。
下雨的话客人就不靠近了。

今天是雨天，所以是特价日哦。下雨的话客人就不来了。"
"SPECIAL_SELL_1","全部打八折，
要买很多哦。","SPECIAL_SELL_1","机翻辅助：

全部打八折，
要买很多哦。

因为全部打了八折，所以买了馅饼。


全部打了2折，所以买了很多。"
"ISHOP_TALK001_0","哎呀哎呀……小弟弟，
初次见面……吗？","ISHOP_TALK001_0","机翻辅助：

哎呀哎呀……小弟弟，
初次见面……吗？

话说回来……少爷，
初次见面……是吗？

初次见面……少爷，初次见面……是吧？"
"ISHOP_TALK001_1","你从都市来的？
嘿～那还真南蛮呢。","ISHOP_TALK001_1","机翻辅助：

你从都市来的？
嘿～那还真南蛮呢。

你是从城市来的吗？
哎～那是南吉啊。

你是从大城市来的？咦，那真是太难办了。"
"ISHOP_TALK001_2","虽然这间店很乱，
慢慢看哦。","ISHOP_TALK001_2","机翻辅助：

虽然这间店很乱，
慢慢看哦。

虽然是很热闹的店，
慢慢看哦。

虽然是一家很杂乱的店，但是慢慢看啊。"
"ISHOP_TALK034_0","小弟弟，你从都市来的？
嘿～那还真南蛮呢。","ISHOP_TALK034_0","机翻辅助：

小弟弟，你从都市来的？
嘿～那还真南蛮呢。

少爷，你是从城市来的吗？
哎～那是南吉啊。

少爷，你是从大城市来的吗？咦，那真是太难办了。"
"ISHOP_TALK034_1","虽然这间店很乱，
慢慢看哦。","ISHOP_TALK034_1","机翻辅助：

虽然这间店很乱，
慢慢看哦。

虽然是很热闹的店，
慢慢看哦。

虽然是一家很杂乱的店，但是慢慢看啊。"
"ISHOP_TALK002_0","哎呀哎呀，欢迎光临。
小弟弟，要精挑细选哦。","ISHOP_TALK002_0","机翻辅助：

哎呀哎呀，欢迎光临。
小弟弟，要精挑细选哦。

萨特萨特，你们好。
少爷，你可别挑啊。

好了好了，各位。少爷，哟～怎么选啊。"
"ISHOP_TALK002_1","因为都是阿婆我自豪的商品呢。
要抬头挺胸地买回去哦。","ISHOP_TALK002_1","机翻辅助：

因为都是阿婆我自豪的商品呢。
要抬头挺胸地买回去哦。

因为都是阿姨引以为豪的东西。
挺起胸膛买不回来。

都是阿姨引以为傲的东西。
挺起胸膛买来的谢礼。"
"ISHOP_TALK002_2","女人靠胆量，男人靠可爱。
好男人就送你咯。
啊哈哈。","ISHOP_TALK002_2","机翻辅助：

女人靠胆量，男人靠可爱。
好男人就送你咯。
啊哈哈。

女人要有胆量，男人要可爱。
对好男人会很敬佩的。
哈哈哈。

女人要有胆量，男人要有亲和力。我会输给好男人的。
阿夏。"
"ISHOP_TALK003_0","想在我们店里卖东西？","ISHOP_TALK003_0","机翻辅助：

想在我们店里卖东西？

想在家里卖东西？

想在我家卖东西？"
"ISHOP_TALK003_1","抱歉哦……
我们这里不卖东西哦。","ISHOP_TALK003_1","机翻辅助：

抱歉哦……
我们这里不卖东西哦。

对不起啊……我家可不流行哦。


对不起……我们家没做啊。"
"ISHOP_TALK003_2","这个嘛……
去前面两家的“大太”看看吧？","ISHOP_TALK003_2","机翻辅助：

这个嘛……
去前面两家的“大太”看看吧？

是啊……两家前面的“黛达拉。”二
去看看怎么样？

是啊……去两家前面的“大熊猫”看看吧？"
"ISHOP_TALK004_0","哎呀哎呀～……
没看到巽屋的完二呢。身体不舒服吗？","ISHOP_TALK004_0","机翻辅助：

哎呀哎呀～……
没看到巽屋的完二呢。身体不舒服吗？

不看巽屋的完二。身体不舒服吗？


好了～……巽屋的完二，你看不见啊。身体不舒服吗？"
"ISHOP_TALK004_1","前阵子在电视上看到他了
是当上艺人了吗？","ISHOP_TALK004_1","机翻辅助：

前阵子在电视上看到他了
是当上艺人了吗？

前几天在电视上看到了
成为艺人了吗？

前几天，在电视上看到
成为演员了吗？"
"ISHOP_TALK004_2","
告诉她，阿姨很担心。","ISHOP_TALK004_2","机翻辅助：


告诉她，阿姨很担心。


告诉我阿姨很担心。

说是阿姨担心了。"
"ISHOP_TALK005_0","最近都没看到完二哥呢。
以前他常常来买零食。","ISHOP_TALK005_0","机翻辅助：

最近都没看到完二哥呢。
以前他常常来买零食。

最近没看到完二啊。
以前经常来买粗点心。

最近没看到完二啊。以前经常来买粗点心。"
"ISHOP_TALK005_1","
我骂了那个想顺手牵羊的小孩……她是个好孩子哦。","ISHOP_TALK005_1","机翻辅助：


我骂了那个想顺手牵羊的小孩……她是个好孩子哦。

对想偷窃的孩子进行斥责……真是个好孩子。


对于想偷东西的孩子，会批评……是个好孩子。"
"ISHOP_TALK005_2","远足时带去的零食预算，
你有好好遵守呢……啊哈哈。","ISHOP_TALK005_2","机翻辅助：

远足时带去的零食预算，
你有好好遵守呢……啊哈哈。

远足时带去的点心的预算，
好好地遵守了呢……哈哈哈。

郊游带的点心的预算，好好遵守了呢……阿夏。"
"ISHOP_TALK006_0","这么说来，完二哥最近都没来买东西。","ISHOP_TALK006_0","机翻辅助：

这么说来，完二哥最近都没来买东西。

对了，完二来买东西了。

是啊，完二没来买东西。"
