"source","target","id","developer_comments"
"armor_301_0","背后印着电影标志的连帽外套","armor_301_0","机翻辅助：

背后印着电影标志的连帽外套

背后写着电影标志的帕克

背后印着电影标志的连帽衫"
"armor_302_0","颜色鲜艳但防寒性不差的夹克","armor_302_0","机翻辅助：

颜色鲜艳但防寒性不差的夹克

颜色鲜艳但防寒性不坏的夹克

虽然是华丽的颜色，但是防寒性不错的夹克"
"armor_303_0","设计成方便活动的夹克","armor_303_0","机翻辅助：

设计成方便活动的夹克

设计成手臂周围容易移动的夹克

设计成便于活动手臂周围的夹克衫"
"armor_304_0","使用大量羽毛制成的大型羽绒外套
特性：[颜色 04]最大HP提升5％[颜色 01]","armor_304_0","机翻辅助：

使用大量羽毛制成的大型羽绒外套
特性：[颜色 04]最大HP提升5％[颜色 01]

使用了大量羽毛的大的羽绒服
特性：[颜色 04]最大HP5%上升[颜色 01]

使用了大量羽毛的大号羽绒外套
特性：[颜色 04]最大生命值提高5%[颜色 01]"
"armor_305_0","以坚固的铁丝编织而成的内衣","armor_305_0","机翻辅助：

以坚固的铁丝编织而成的内衣

用坚固的铁编织而成的内胆

用结实的铁编织而成的内衣"
"armor_306_0","以特殊纤维编织而成的轻便服装","armor_306_0","机翻辅助：

以特殊纤维编织而成的轻便服装

用特殊纤维编织而成的轻便便于活动的衣服

用特殊纤维编织的轻便易动的衣服"
"armor_307_0","提升生存率的耐久型轻便背心
特性：[颜色 04]最大HP提升10％[颜色 01]","armor_307_0","机翻辅助：

提升生存率的耐久型轻便背心
特性：[颜色 04]最大HP提升10％[颜色 01]

存活率提高的有耐久性的轻的马甲
特性：[颜色 04]最大HP提高10%[颜色 01]

特性：
[颜色 04]耐用的轻，生存率提高10%[颜色 01]"
"armor_308_0","在自然环境越丰沛的地方越难看见的外套
特性：[颜色 04]敏捷＋1[颜色 01]","armor_308_0","机翻辅助：

在自然环境越丰沛的地方越难看见的外套
特性：[颜色 04]敏捷＋1[颜色 01]

自然越丰富越看不见的花纹的大衣
特性：[颜色 04]速+1[颜色 01]

自然越丰富就越看不见花纹的大衣
特性：[颜色 04]速+ 1[颜色 01]"
"armor_30A_0","能抵御各种异常状态的防护服
特性：[颜色 04]以低概率抵御所有“异常状态”[颜色 01]","armor_30A_0","机翻辅助：

能抵御各种异常状态的防护服
特性：[颜色 04]以低概率抵御所有“异常状态”[颜色 01]

假设所有状态异常的防护服
特性：[颜色 04]低概率防止所有“状态异常”[颜色 01]

所有状态异常的防护服
特性：[颜色 04]以低概率防止所有的“状态异常”[颜色 01]"
"armor_30B_0","以高硬度合金制成的铠甲","armor_30B_0","机翻辅助：

以高硬度合金制成的铠甲

用硬度高的合金制成的铠甲

提高硬度的合金制成的铠甲"
