"source","target","id","developer_comments"
"text_001_0","何をしますか？","text_001_0",""
"text_002_0","何について聞きますか？","text_002_0",""
"text_003_0","ペルソナフィルム閲覧","text_003_0",""
"text_004_0","ペルソナフィルム上書き","text_004_0",""
"text_005_0","所持ペルソナ一覧","text_005_0",""
"text_006_0","オススメ合体","text_006_0",""
"text_007_0","検索合体","text_007_0",""
"text_008_0","特殊合体","text_008_0",""
"text_009_0","合体予報","text_009_0",""
"text_010_0","スキルカード購入","text_010_0",""
"text_011_0","スキルカード登録","text_011_0",""
"text_012_0","救援ログ確認","text_012_0",""
"text_013_0","救援ログ詳細","text_013_0",""
"text_014_0","メッセージ作成","text_014_0",""
"text_015_0","アイコン選択","text_015_0",""
"text_016_0","作成終了","text_016_0",""
"text_017_0","何を作りますか？","text_017_0",""
"text_018_0","１体目を選んでください","text_018_0",""
"text_019_0","２体目を選んでください","text_019_0",""
"text_020_0","３体目を選んでください","text_020_0",""
"text_021_0","武器を選んでください","text_021_0",""
"text_022_0","ペルソナを選んでください","text_022_0",""
"text_023_0","すれちがい手帳閲覧","text_023_0",""
"text_024_0","配るペルソナを選んでください","text_024_0",""
"text_025_0","イケニエにするペルソナを選んでください","text_025_0",""
"text_026_0","２枚目のイケニエを選んでください","text_026_0",""
"text_027_0","成長させるペルソナを選んでください","text_027_0",""
"text_028_0","成長させるペルソナを選んでください","text_028_0",""
"text_029_0","アクセサリー合体","text_029_0",""
"text_030_0","素材にするペルソナを選んでください","text_030_0",""
"text_031_0","合体するアクセサリーを選んでください","text_031_0",""
"text_032_0","スロットを選択してください","text_032_0",""
