"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","谨慎探索","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找 

一边警戒一边寻找 

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集 ","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃 ","ITEM_POINT_SEL_2","机翻辅助：

放弃"
"ITEM_POINT_FORCE_BTL_SEL_0","探索","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃 ","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃"
"SHORTCUT_SEL_0","通过","SHORTCUT_SEL_0","机翻辅助：

能通过 

通过 

经过"
"SHORTCUT_SEL_1","不通过","SHORTCUT_SEL_1","机翻辅助：

不能通过 

不通 

不通过"
"ENTRANCE_SEL_0","返回 ","ENTRANCE_SEL_0","机翻辅助：

返回"
"ENTRANCE_SEL_1","不返回","ENTRANCE_SEL_1","机翻辅助：

不回头 

不回去 

不回来"
"MSG_000_0","好像是藏宝地点呢。
要采集吗？","MSG_000_0","机翻辅助：

看来是个宝物地点呢。
要采集吗？ 

好像是宝物景点啊。
采集吗？ 

好像是藏宝点呢。
采集吗？"
"MSG_001_0","知道了。
那么，一边注意周围一边采集吧。","MSG_001_0","机翻辅助：

知道了。
那我们一边注意周围一边采集吧。 

我明白了。
那么，要注意周围的人。 

我明白了。
那么，请注意周围的环境进行采集吧。"
"MSG_002_0","明白了。
那么，好好搜索一下吧。","MSG_002_0","机翻辅助：

了解了。
那我们好好地找吧。 

明白了。
那么，好好寻找吧。 

明白了。
那么，好好找找吧。"
"MSG_003_0","了解。","MSG_003_0","机翻辅助：

了解。 

明白了。"
"MSG_004_0","看起来这些就是全部呢。","MSG_004_0","机翻辅助：

这样应该就是全部了。 

这样好像就是全部了呢。 

这就是全部了。"
"MSG_005_0","还可以吧。","MSG_005_0","机翻辅助：

还算可以吧。 

还过得去吧。"
"MSG_006_0","嗯……","MSG_006_0","机翻辅助：

唔…… 

嗯……"
"MSG_007_0","我收下了。","MSG_007_0","机翻辅助：

就收下吧。 

我来拿吧。 

那就收下吧。"
"MSG_008_0","虽然顺利全部采集完了……
果然还是不能放松呢。","MSG_008_0","机翻辅助：

虽然顺利采集完毕了……
但果然还是不能松懈呢。

虽然采集顺利完成了……
果然还是不能放松啊。

虽然顺利地采集完成了……还是不能松懈啊。"
"MSG_009_0","是稀有物品呢！","MSG_009_0","机翻辅助：

好稀有哦！ 

很稀有哦！ 

是稀有哦！"
"MSG_010_0","这是……！ ","MSG_010_0","机翻辅助：

这是……！"
"MSG_011_0","做得好。","MSG_011_0","机翻辅助：

成功了呢。 

做了啊。 

做得很好。"
"MSG_012_0","是近路呢。
要先打开吗？","MSG_012_0","机翻辅助：

这是捷径呢。
要打开吗？ 

快捷键。
要打开吗？ 

快捷方式。
要打开吗？"
"MSG_015_0","这里过不去呢。","MSG_015_0","机翻辅助：

这边好像不能通过呢。 

这里不能通过吧。 

这边过不去啊。"
"MSG_018_0","这里……
感觉有很危险的气息","MSG_018_0","机翻辅助：

这里……
有非常危险的气息。

这里……
感觉非常危险。

这里……感觉到了非常危险的气息。"
"MSG_019_0","明白了。
小心点调查吧。","MSG_019_0","机翻辅助：

知道了。
小心地调查吧。

我明白了。
请注意调查。

我明白了。小心调查吧。"
"MSG_020_0","说的是呢。
我认为这是一个明智的决定。","MSG_020_0","机翻辅助：

是呢。
我认为这是明智的判断。

是啊。
我认为这是明智的判断。

是啊。我认为这是明智的判断。"
"MSG_021_0","刚刚的……是个强敌呢。","MSG_021_0","机翻辅助：

刚才那个……是相当厉害的强敌呢。

现在的是……相当的强敌呢。

现在的是……是相当强劲的对手。"
"MSG_022_0","这附近
有暗影的气息。","MSG_022_0","机翻辅助：

这附近……
有暗影的气息。

这附近有暗影的迹象。"
"MSG_023_0","明白了。
小心点调查吧。","MSG_023_0","机翻辅助：

知道了。
小心地调查吧。

我明白了。
请注意调查。

我明白了。小心调查吧。"
"MSG_024_0","知道了。
先暂停吧？","MSG_024_0","机翻辅助：

了解了。
就先别过去吧。

明白了。
要停下来吗。

明白了。要不要先停一停？"
"MSG_025_0","看样子应该是结束了呢。","MSG_025_0","机翻辅助：

这样好像就结束了呢。

好像到此结束了呢。

这似乎就结束了。"
"MSG_026_0","这里好像可以回电影院。
怎么办？","MSG_026_0","机翻辅助：

从这里好像能回到电影院呢。
要怎么做？

好像可以从这里回到电影院。
怎么办？"
"MSG_027_0","！！哇呀！！","MSG_027_0","翻译匹配：EO1-3HD"
"speaker_白鐘 直斗","白钟 直斗","speaker_白鐘 直斗","翻译匹配：PQ2"
