ja,zh_Hans
愚者,愚者
魔術師,魔术师
女教皇,女教皇
女帝,女皇
皇帝,皇帝
法王,教皇
恋愛,恋爱
戦車,战车
正義,正义
隠者,隐者
運命,命运
剛毅,力量
刑死者,倒悬者
死神,死神
節制,节制
悪魔,恶魔
塔,塔
星,星
月,月亮
太陽,太阳
審判,审判
永劫,永劫
斬撃アタック,斩击攻击
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
マララギダイン,魔罗拉基达因
ラグナロク,诸神黄昏
ガル,加尔
ガルーラ,加尔拉
ガルダイン,加尔达因
マハガル,玛哈加尔
マハガルーラ,玛哈加尔拉
マハガルダイン,玛哈加尔达因
万物流転,万物流转
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
ニブルヘイム,死者国度
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
真理の雷,真理之雷
メギド,米吉多
メギドラ,米吉多拉
メギドラオン,米吉多拉翁
自爆,自爆
漆黒の蛇,漆黑之蛇
明けの明星,拂晓明星
ハマ,哈玛
マハンマ,玛翰玛
ハマオン,哈玛翁
マハンマオン,玛翰玛翁
回転説法,回转讲道
ムド,姆多
マハムド,玛哈姆多
ムドオン,姆多翁
マハムドオン,玛哈姆多翁
死んでくれる？,可以为我而死吗？
マリンカリン,马琳卡琳
セクシーダンス,性感之舞
ネコダマシ,欺敌奇招
フラッシュノイズ,闪光噪声
プリンパ,普林帕
テンタラフー,颠塔拉弗
デビルタッチ,恶魔之触
デビルスマイル,恶魔微笑
亡者の嘆き,亡者喟叹
バリゾーゴン,恶毒咒骂
終末の予言,终焉预言
ポイズマ,施毒术
ポイズンミスト,毒雾
ウィルスブレス,病毒之息
淀んだ吐息,污秽吐息
淀んだ空気,污秽空气
吸血,吸血
吸魔,吸魔
エンジェルアロー,天使之箭
DEATH,DEATH
エール,声援
闇夜のドレス,暗夜的礼裙
召喚,召唤
貫通アタック,贯穿攻击
打撃アタック,打击攻击
火炎アタック,火焰攻击
万能アタック,万能攻击
突撃,突击
アサルトダイブ,俯冲突击
キルラッシュ,杀戮突袭
電光石火,电光石火
ソニックパンチ,音速拳
ヒートウェイブ,灼热波浪
ギガンフィスト,巨人铁拳
アカシャアーツ,虚无艺术
ゴッドハンド,神之手
スラッシュ,斩击
デッドエンド,死亡终结
月影,月影
残影,残影
剛殺斬,刚杀斩
二連牙,二连牙
利剣乱舞,利剑乱舞
デスバウンド,死亡界限
五月雨斬り,五月雨斩
天軍の剣,天军之剑
プララヤ,大劫
パワースラッシュ,威力斩击
疾風斬,疾风斩
ブレイブザッパー,勇气之击
金剛発破,金刚发破
烈風波,烈风波
シングルショット,单次射击
ダブルシュート,双重射击
ミリオンシュート,百万射击
アローシャワー,箭浴
刹那五月雨撃,刹那五月雨击
イノセントタック,纯真突刺
空間殺法,空间杀法
体調不良酔拳,身体不适醉拳
バスタアタック,爆破攻击
マッドアサルト,疯狂突击
ポイズンアロー,毒箭
順平合体攻撃,顺平合体攻击
ゆかり合体攻撃,由加莉合体攻击
真田合体攻撃,真田合体攻击
美鶴合体攻撃,美鹤合体攻击
アイギス合体攻撃,埃癸斯合体攻击
天田合体攻撃,天田合体攻击
荒垣合体攻撃,荒垣合体攻击
コロマル合体攻撃,虎狼丸合体攻击
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
メディア,梅迪亚
メディラマ,梅迪拉玛
メディアラハン,梅迪亚拉翰
メシアライザー,救世主之愈
パトラ,帕特拉
メパトラ,梅帕特拉
リパトラ,利帕特拉
ポズムディ,波兹姆迪
アムリタ,不死甘露
リカーム,利卡姆
サマリカーム,萨玛利卡姆
タルンダ,塔伦达
マハタルンダ,玛哈塔伦达
スクンダ,斯坤达
マハスクンダ,玛哈斯坤达
ラクンダ,拉坤达
マハラクンダ,玛哈拉坤达
デクンダ,迪坤达
タルカジャ,塔尔卡加
マハタルカジャ,玛哈塔尔卡加
スクカジャ,斯库卡加
マハスクカジャ,玛哈斯库卡加
ラクカジャ,拉库卡加
マハラクカジャ,玛哈拉库卡加
チャージ,蓄力
コンセントレイト,专心致志
デカジャ,迪卡加
テトラカーン,提特拉康
マカラカーン,玛卡拉康
リベリオン,反叛
レボリューション,革命
火炎ガードキル,消除火焰防御
氷結ガードキル,消除冰冻防御
疾風ガードキル,消除疾风防御
電撃ガードキル,消除电击防御
トラエスト,特拉埃斯特
トラフーリ,特拉芙里
癒しの波動,治愈之波动
リカームドラ,利卡姆多拉
チャームディ,查姆迪
ブルトディ,布尔特迪
真夏の夜の夢,仲夏夜之梦
ジャックブラザーズ,杰克兄弟
アルダナ,阿尔达
トリックスター,诡骗师
インフィニティ,无穷无尽
ヴァルホル,英灵殿
ハルマゲドン,哈米吉多顿
カデンツァ,华彩乐段
紅蓮華斬殺,红莲华斩杀
ファイナルヌード,终极诱惑
夢魔の宴,梦魔之宴
おおさまとおいら,大王和俺们
ベストフレンド,最佳好友
闇と番犬,黑暗和看门犬
雷神演舞,雷神演舞
ラストジャッジ,最后的审判
ラクタパクシャ,红翼者
ジャスティス!,正义！
原初の暗黒,原初的黑暗
闇の抱擁,黑暗的拥抱
ハートブレイカー,碎心一击
ギガスパーク,兆倍冲击
無情の奉仕,无情的侍奉
爆弾化,炸弹化
アルカナシフト,阿尔卡那转换
夜の女王,夜之女王
総攻撃2人版,总攻击2人版
総攻撃3人版,总攻击3人版
総攻撃4人版,总攻击4人版
黄昏の羽根,黄昏羽翼
アナライズ,分析
オラクル,神谕
ハイ・アナライズ,高阶分析
総攻撃2人版L,总攻击2人版L
総攻撃3人版L,总攻击3人版L
総攻撃4人版L,总攻击4人版L
サポートスキャン,支援扫描
サードアイ,第三只眼
マインドDJ,心灵DJ
DJクイーン,DJ女王
エスケープロード,逃离路线
オルギアモード,狂宴模式
大いなる封印,伟大封印
氷結アタック,冰冻攻击
疾風アタック,疾风攻击
電撃アタック,电击攻击
滅亡の予言,灭亡的预言
合体,合体
分離,分离
充電,充电
運命の輪,命运之轮
パラダイムシフト,范式转移
E攻撃力上昇,E攻击力上升
P攻撃力上昇,P攻击力上升
E攻撃力下降,E攻击力下降
P攻撃力下降,P攻击力下降
E防御力上昇,E防御力上升
P防御力上昇,P防御力上升
E防御力下降,E防御力下降
P防御力下降,P防御力下降
E混乱,E混乱
P混乱,P混乱
Eヤケクソ,E暴怒
Pヤケクソ,P暴怒
E動揺,E动摇
P動揺,P动摇
E恐怖,E恐惧
P恐怖,P恐惧
E小ダメージ,E少量伤害
P小ダメージ,P少量伤害
E中ダメージ,E中量伤害
P中ダメージ,P中量伤害
E大ダメージ,E大量伤害
P大ダメージ,P大量伤害
E回復,E恢复
P回復,P恢复
終埃の詩,终焉之诗
絆創膏,创可贴
傷薬,伤药
宝玉,宝玉
スナフソウル,灵魂鼻烟壶
チューインソウル,灵魂口香糖
御卵,御卵
ソーマ,苏摩
マッスルドリンコ,肌肉饮料
ミステリーフード,神秘食品
スメルグレイビー,香气卤汁
劇薬,猛药
風邪薬,感冒药
スタミナドリンク,耐力饮料
