"source","target","id","developer_comments"
"town_okaeri_HIKARI_mes01_0","……伤口……没事吧？","town_okaeri_HIKARI_mes01_0","机翻辅助：

……伤势……不要紧……？

……受伤……没关系……？"
"town_okaeri_HIKARI_mes02_0","辛苦了。","town_okaeri_HIKARI_mes02_0","机翻辅助：

……辛苦了。"
"town_okaeri_HIKARI_mes03_0","大家……欢迎回来。","town_okaeri_HIKARI_mes03_0","机翻辅助：

大家……欢迎回来。

大家……你回来了。"
"town_okaeri_HIKARI_mes04_0","好好准备，我们重新出发吧。","town_okaeri_HIKARI_mes04_0","机翻辅助：

好好准备，下次再出发吧。

好好准备，再去吧。"
"town_okaeri_HIKARI_mes05_0","欢迎回来！大家！","town_okaeri_HIKARI_mes05_0","机翻辅助：

大家，欢迎回来！

你回来啦！大家好！

你回来啦！大家！"
"town_okaeri_NAGI_mes01_0","各位，请慢慢休息吧。","town_okaeri_NAGI_mes01_0","机翻辅助：

请各位好好休息。

大家好好休息吧。"
"town_okaeri_NAGI_mes02_0","平安无事就好。","town_okaeri_NAGI_mes02_0","机翻辅助：

平安无事就好。

您没事比什么都好

您没事就好"
"town_okaeri_RYUJI_mes_0","嘿，好累啊。","town_okaeri_RYUJI_mes_0","机翻辅助：

呼——累死了——

呵呵，被吐槽了。

啊，被戳中了。"
"town_okaeri_ANN_mes_0","嗯，大家辛苦了！","town_okaeri_ANN_mes_0","机翻辅助：

呼，大家辛苦了！

大家辛苦了！

哦，大家辛苦了！"
"town_okaeri_MONA_mes_0","你们做得相当不错啊！","town_okaeri_MONA_mes_0","机翻辅助：

你们做得很好哦！

你们这些家伙真是干得不错啊！

你们干得真不错！"
"town_okaeri_YUSUKE_mes_0","这次也得到了很好的刺激……","town_okaeri_YUSUKE_mes_0","机翻辅助：

这次也得到了很棒的刺激呢……

这次也得到了很好的刺激啊……

这次也得到了很好的刺激呢……"
"town_okaeri_FUTABA_mes_0","眼睛好累，感觉脑子要被烧坏了……","town_okaeri_FUTABA_mes_0","机翻辅助：

眼睛好累——脑袋好烫——

眼睛累了，智慧热……

眼睛累了，智慧热了……"
"town_okaeri_AKECHI_mes_0","我想稍微休息一下。","town_okaeri_AKECHI_mes_0","机翻辅助：

正好想喘口气呢。

正好想歇口气。

我正好想喘口气。"
"town_okaeri_P3HERO2_mes_0","好好准备一下吧！","town_okaeri_P3HERO2_mes_0","机翻辅助：

好好准备吧！

好好准备一下吧！"
