"source","target","id","developer_comments"
"CMPPOEM_PATHOS_0","你想要感受哪种感情呢……","CMPPOEM_PATHOS_0","机翻辅助：

要感受哪种感性呢……

感觉到哪个帕特斯呢……

感觉哪个帕索斯呢……"
"CMPPOEM_NOT_PATHOS_0","现在什么也感觉不到了……","CMPPOEM_NOT_PATHOS_0","机翻辅助：

现在什么都感受不到……

现在什么都感觉不到……"
"CMPPOEM_SELECT_1_0","“非人类的存在”","CMPPOEM_SELECT_1_0","机翻辅助：

“非人者的诗歌”

“致非人之人”"
"CMPPOEM_SELECT_1_1","废犬们的摇篮曲","CMPPOEM_SELECT_1_1","机翻辅助：

“杂种狗的摇篮曲”

“癞皮狗们的啦啦拜”

“粗犬们的摇篮曲”"
"CMPPOEM_SELECT_1_2","血色新娘","CMPPOEM_SELECT_1_2","机翻辅助：

“血腥的新娘”

“布拉迪·布莱德”

“血色新娘”"
"CMPPOEM_SELECT_1_3","惊讶的生日","CMPPOEM_SELECT_1_3","机翻辅助：

“生日快乐”

“大团圆生日”"
"CMPPOEM_SELECT_1_4","“记忆”","CMPPOEM_SELECT_1_4","机翻辅助：

“继承”

“基索克”

“规则”"
"CMPPOEM_SELECT_1_5","“七大罪”","CMPPOEM_SELECT_1_5","机翻辅助：

“七大罪”

“七宗罪”"
"CMPPOEM_SELECT_1_6","？？？？","CMPPOEM_SELECT_1_6",""
"CMPPOEM_SELECT_1_7","？？？？","CMPPOEM_SELECT_1_7",""
"CMPPOEM_SELECT_1_8","？？？？","CMPPOEM_SELECT_1_8",""
"CMPPOEM_SELECT_1_9","？？？？","CMPPOEM_SELECT_1_9",""
"CMPPOEM_SELECT_1_10","？？？？","CMPPOEM_SELECT_1_10",""
"CMPPOEM_SELECT_1_11","？？？？","CMPPOEM_SELECT_1_11",""
