"source","target","id","developer_comments"
"map_help_001_01_0","触碰“画笔工具”并选择，然后滑动
格子周围的线，就可以画出
墙的线。","map_help_001_01_0","机翻辅助：

触碰“画笔工具”并选择，然后滑动
格子周围的线，就可以画出
墙的线。

点击选择
钢笔工具
，在格子周围画线，就可以画出墙壁的线了。

触摸并选择“钢笔工具”，画出
方格周围的线条，就能画出
墙壁的线条。"
"map_help_001_02_0","触碰“橡皮擦工具”，然后触碰想要擦掉的
连续地点，就可以擦掉
画出的墙的线。","map_help_001_02_0","机翻辅助：

触碰“橡皮擦工具”，然后触碰想要擦掉的
连续地点，就可以擦掉
画出的墙的线。

触摸“橡皮擦工具”，
继续触摸想消除的地方
可以消除画的墙壁的线。

触摸
橡皮工具
，然后继续触摸你想擦的地方，就可以擦去你画的墙壁上的线条了。"
"map_help_002_01_0","触碰“画笔工具”并选择，然后触碰或滑动想要涂色的
格子，就可以在地图上
涂地板。","map_help_002_01_0","机翻辅助：

触碰“画笔工具”并选择，然后触碰或滑动想要涂色的
格子，就可以在地图上
涂地板。

触摸“笔工具”选择，
触摸或滑动想涂的鳟鱼
可以在地图上涂地板。

触摸选择
毛笔工具
，触摸或滑动你想涂的格子，就可以在地图上涂地板了。"
"map_help_002_02_0","触碰“抹布工具”，然后触碰想要擦掉的
连续地点，就可以擦掉
地板的颜色。","map_help_002_02_0","机翻辅助：

触碰“抹布工具”，然后触碰想要擦掉的
连续地点，就可以擦掉
地板的颜色。

触摸“抹布工具”，
继续触摸想消除的地方
可以消除地板的颜色。

触摸
抹布工具
，然后继续触摸你想擦掉的地方，就能擦掉地板的颜色。"
"map_help_002_03_0","涂地板时，触碰“COLOR按钮”
就会打开调色盘，
可以选择要涂的颜色。","map_help_002_03_0","机翻辅助：

涂地板时，触碰“COLOR按钮”
就会打开调色盘，
可以选择要涂的颜色。

涂地板的时候，触摸
COLOR按钮
的话托盘就会打开，可以选择涂的颜色。

在涂地板的时候，用
触碰“COLOR button”，调色板打开，可以选择
要涂的颜色。"
"map_help_003_01_0","
试着在门等记号上放置各种各样的图标吧。
在想放置的图标上按住不放，
然后往地图上滑动放开。","map_help_003_01_0","机翻辅助：


试着在门等记号上放置各种各样的图标吧。
在想放置的图标上按住不放，
然后往地图上滑动放开。

在门等的记号上，试着把各种各样的图标放在地图上吧。
触摸想放置的图标，
滑动到地图上释放。


试着在地图上放置各种各样的图标，比如门。
按住你想放的图标，滑动到地图上方。"
"map_help_003_02_0","要消除地图上的图标时，
在“画图工具”的状态下，按住想消除的
图标，然后往“垃圾桶”
上滑动丢弃。","map_help_003_02_0","机翻辅助：

要消除地图上的图标时，
在“画图工具”的状态下，按住想消除的
图标，然后往“垃圾桶”
上滑动丢弃。

删除放在地图上的图标时，
在“笔工具”的状态下，触摸着想要删除的
图标，滑动到“垃圾箱”的
上。

清除地图上的图标时，在“钢笔工具”的状态下，按住想要清除的图标，滑动到“垃圾桶”的上方。"
"map_help_004_01_0","
只要触碰图标，就能从调色盘
改变图标的颜色与种类。","map_help_004_01_0","机翻辅助：


只要触碰图标，就能从调色盘
改变图标的颜色与种类。

触摸图标的话，
调色板可以改变图标的颜色和种类
。

触摸图标的话，
从调色板可以改变图标的颜色和种类。"
"map_help_005_01_0","测验1","map_help_005_01_0","机翻辅助：

测验1

测试1"
"map_help_006_01_0","在显示整个楼层时，
触碰楼层，就能显示该楼层的地图。
","map_help_006_01_0","机翻辅助：

在显示整个楼层时，
触碰楼层，就能显示该楼层的地图。


在显示整个楼层时触摸楼层数，可以显示该楼层的地图。



在显示整个楼层的过程中，触摸楼层，就能显示该楼层的地图。"
"map_help_006_02_0","
也能触碰显示迷宫一览的按钮，
选择迷宫显示楼层。","map_help_006_02_0","机翻辅助：


也能触碰显示迷宫一览的按钮，
选择迷宫显示楼层。

触摸迷宫一览表的显示按钮的话，
选择迷宫也能显示楼层
。

点击迷宫一览的显示按钮，可以选择迷宫，显示楼层。"
