ja,zh_Hans
ダミーエネミー,DUMMY敌人
Bハワイフロスト,B夏威夷霜精
メロンフロスト,蜜瓜霜精
レモンフロスト,柠檬霜精
いちごフロスト,草莓霜精
ミルきんフロスト,奶豆霜精
アラミタマ,荒魂
ニギミタマ,和魂
クシミタマ,奇魂
サキミタマ,幸魂
マサカド,将门
シヴァ,湿婆
サンダルフォン,圣德芬
フォルトゥナ,福尔图娜
ロキ,洛基
ノルン,诺伦
サトゥルヌス,萨图尔努斯
バアル,巴力
ザオウゴンゲン,藏王权现
コウリュウ,黄龙
フツヌシ,经津主
トール,托尔
カーリー,迦梨
ティターニア,缇坦妮雅
オベロン,奥伯隆
リリス,莉莉丝
ゲンブ,玄武
クドラク,库德拉克
ランダ,兰达
スカアハ,斯卡哈
セイリュウ,青龙
ギリメカラ,基力梅卡拉
バロン,巴隆
ファフニール,法夫纳
ナタタイシ,哪吒太子
クルースニク,克雷斯尼克
クー・フーリン,库夫林
ハヌマーン,哈奴曼
モコイ,莫克伊
ガネーシャ,葛内舍
パワー,能天使
ビャッコ,白虎
ラクシャーサ,罗刹
ヤマタノオロチ,八岐大蛇
モスマン,天蛾人
イナバシロウサギ,因幡白兔
アンズー,安祖
ガルーダ,迦楼罗
ジャックランタン,杰克灯笼
ヤタガラス,八咫乌
ツィツィミトル,兹兹米特尔
スザク,朱雀
ピクシー,皮克希
モー・ショボー,莫索保
エンジェル,天使
アプサラス,飞天
ネコマタ,猫又
サキュバス,女梦魔
ジャックフロスト,杰克霜精
バジリスク,巴西利斯克
キングフロスト,霜精之王
ハリティー,诃梨帝母
ターボばあちゃん,高速婆婆
ヴァルキリー,女武神
シルキー,希路奇
オンモラキ,阴摩罗鬼
コロポックル,克鲁波克鲁
ザントマン,睡魔
ポルターガイスト,骚灵
マッドガッサー,疯狂毒气怪人
ドッペルゲンガー,二重身
マーメイド,美人鱼
リャナンシー,莲南希
ラミア,拉弥亚
ダーキニー,荼吉尼
スクナヒコナ,少彦名
タケミナカタ,建御名方
オオヤマツミ,大山津见
オオクニヌシ,大国主
チン,鸩
グルル,格鲁鲁
クラマテング,鞍马天狗
チェルノボグ,切尔诺伯格
モト,莫特
グレムリン,葛雷姆林
ロア,罗瓦
イッポンダタラ,一本踏鞴
じゃあくフロスト,邪恶霜精
ミシャグジさま,御社宫司神
バフォメット,巴风特
パズス,帕祖祖
マーラ,魔罗
チョトンダ,猪豚蛇
セト,赛特
ヴァスキ,婆苏吉
キンマモン,君真物
イシュタル,伊丝塔
パールヴァティ,帕尔瓦蒂
マカミ,真神
アヌビス,阿努比斯
チロンヌプ,奇隆努普
シーサー,狮爷
キマイラ,奇美拉
ユニコーン,独角兽
ハルパス,哈帕斯
アンドラス,安德拉斯
オロバス,欧若博司
デカラビア,单卡拉比
