"source","target","id","developer_comments"
"text_000_0","煤けたフィルムについて聞く","text_000_0",""
"text_001_0","テオドアと戦う","text_001_0",""
"text_002_0","煤けたフィルムについて聞く","text_002_0",""
"text_003_0","マーガレットと戦う","text_003_0",""
"text_004_0","煤けたフィルムについて聞く","text_004_0",""
"text_005_0","双子と戦う","text_005_0",""
"text_006_0","煤けたフィルムについて聞く","text_006_0",""
"text_007_0","エリザベスと戦う","text_007_0",""
"text_008_0","予告状について聞く","text_008_0",""
"text_009_0","五人全員と戦う","text_009_0",""
"text_010_0","特別上映とは","text_010_0",""
"text_011_0","特別上映の報酬とは","text_011_0",""
"text_012_0","チケットの破棄とは","text_012_0",""
